# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of OH31R104 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+23)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  13115  1.000   1  2009  273  22.79  55105.145   71.4  1.153e+03 
  13116  1.000   1  2009  273  23.32  55105.167   71.4  8.753e+02 
  13118  1.000   1  2009  274   0.04  55105.197   71.4  7.005e+02 
  13119  1.000   1  2009  274   0.57  55105.219   71.4  5.806e+02 
  13316  0.533  24  2009  278   3.27  55109.332   71.3  1.537e+03 
  13318  0.533   4  2009  278   4.25  55109.373   71.3  1.414e+03 
  13352  0.417   5  2009  278  21.27  55110.082   71.2  1.620e+03 
  13354  0.422   6  2009  278  22.17  55110.119   71.2  1.781e+03 
  13357  0.333   4  2009  278  23.87  55110.190   71.1  1.431e+03 
  13359  1.000   1  2009  279   0.93  55110.235   71.1  1.202e+03 
  13360  1.000   1  2009  279   1.46  55110.256   71.1  1.283e+03 
  13362  1.000   1  2009  279   2.20  55110.287   71.1  1.361e+03 
  13363  1.000   1  2009  279   2.72  55110.309   71.1  1.227e+03 
  13364  1.000   1  2009  279   3.45  55110.339   71.1  1.269e+03 
  13365  1.000   1  2009  279   3.97  55110.361   71.1  1.194e+03 
  13400  0.361   6  2009  279  21.21  55111.079   71.0  1.382e+03 
  13402  0.511   8  2009  279  22.29  55111.124   71.0  1.109e+03 
  13404  1.000   1  2009  279  23.18  55111.161   70.9  1.052e+03 
  13405  1.000   1  2009  279  23.70  55111.183   70.9  1.119e+03 
  13407  1.000   1  2009  280   0.54  55111.218   70.9  1.246e+03 
  13408  1.000   1  2009  280   1.06  55111.240   70.9  1.598e+03 
  13409  1.000   1  2009  280   1.78  55111.270   70.9  1.190e+03 
  13410  1.000   1  2009  280   2.30  55111.291   70.9  1.144e+03 
  13451  1.000   1  2009  280  22.53  55112.134   70.7  1.109e+03 
  13452  1.000   1  2009  280  23.06  55112.156   70.7  1.017e+03 
  13454  1.000   1  2009  281   0.03  55112.197   70.7  1.177e+03 
  13455  1.000   1  2009  281   0.56  55112.219   70.7  1.067e+03 
  13496  1.333   2  2009  281  21.21  55113.079   70.6  1.773e+03 
  13497  0.667   1  2009  281  21.71  55113.100   70.6  1.855e+03 
  13545  0.333   4  2009  282  21.76  55114.102   70.6  1.711e+03 
  13546  0.333   4  2009  282  22.27  55114.124   70.6  1.449e+03 
  13547  0.667   1  2009  282  22.80  55114.146   70.6  1.451e+03 
  13548  1.333   2  2009  282  23.30  55114.167   70.6  1.381e+03 
