# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH3a
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  477  2.40  1.132   0.126  0.045  0.265 
    1    16     2  -4.5  0.36  421  1.61  1.058   0.159  0.047  0.280 
    1    16     3  -3.5  1.00  446  1.10  1.009   0.170  0.047  0.303 
    1    16     4  -2.5  1.00  541  1.00  0.973   0.199  0.045  0.318 
    1    16     5  -1.5  1.00  504  1.00  0.917   0.165  0.046  0.329 
    1    16     6  -0.5  1.00  480  1.00  0.908   0.118  0.047  0.329 
    1    16     7   0.5  1.00  513  1.00  0.887   0.115  0.045  0.334 
    1    16     8   1.5  1.00  542  1.00  0.858   0.113  0.048  0.366 
    1    16     9   2.5  1.00  554  1.00  0.820   0.052  0.049  0.369 
    1    16    10   3.5  1.00  419  1.01  0.792  -0.009  0.059  0.384 
    1    16    11   4.5  0.61  406  1.51  0.787  -0.003  0.060  0.361 
    1    16    12   5.5  0.00  461  2.31  0.793  -0.036  0.057  0.346 
    2    46     1  -5.5  0.00  431  2.21  1.324   0.022  0.051  0.226 
    2    46     2  -4.5  0.57  454  1.50  1.236   0.023  0.051  0.247 
    2    46     3  -3.5  1.00  458  1.00  1.109   0.094  0.050  0.264 
    2    46     4  -2.5  1.00  532  1.00  1.004   0.093  0.042  0.284 
    2    46     5  -1.5  1.00  540  1.00  0.975   0.143  0.041  0.299 
    2    46     6  -0.5  1.00  574  1.00  0.948   0.108  0.039  0.291 
    2    46     7   0.5  1.00  627  1.00  0.922   0.092  0.039  0.304 
    2    46     8   1.5  1.00  625  1.00  0.889   0.025  0.043  0.326 
    2    46     9   2.5  1.00  606  1.00  0.860  -0.051  0.045  0.332 
    2    46    10   3.5  1.00  577  1.00  0.832  -0.068  0.049  0.333 
    2    46    11   4.5  1.00  477  1.30  0.811  -0.055  0.056  0.328 
    2    46    12   5.5  0.03  405  1.91  0.824  -0.018  0.060  0.312 
    3    75     1  -5.5  0.01  403  1.81  1.464   0.077  0.043  0.213 
    3    75     2  -4.5  1.00  445  1.20  1.420   0.063  0.043  0.213 
    3    75     3  -3.5  1.00  607  1.00  1.329  -0.023  0.039  0.234 
    3    75     4  -2.5  1.00  623  1.00  1.229  -0.038  0.040  0.266 
    3    75     5  -1.5  1.00  666  1.00  1.131  -0.020  0.041  0.292 
    3    75     6  -0.5  1.00  672  1.00  1.022   0.088  0.041  0.290 
    3    75     7   0.5  1.00  675  1.00  0.920   0.137  0.040  0.282 
    3    75     8   1.5  1.00  648  1.00  0.850   0.099  0.043  0.285 
    3    75     9   2.5  1.00  624  1.00  0.815   0.032  0.045  0.292 
    3    75    10   3.5  1.00  604  1.00  0.815   0.009  0.045  0.302 
    3    75    11   4.5  1.00  412  1.01  0.829   0.046  0.055  0.285 
    3    75    12   5.5  0.32  407  1.71  0.854   0.093  0.058  0.297 
    4   106     1  -5.5  0.52  429  1.71  1.507   0.035  0.044  0.225 
    4   106     2  -4.5  1.00  441  1.01  1.477   0.077  0.042  0.219 
    4   106     3  -3.5  1.00  632  1.00  1.376   0.066  0.035  0.228 
    4   106     4  -2.5  1.00  657  1.00  1.249   0.012  0.038  0.249 
    4   106     5  -1.5  1.00  675  1.00  1.114  -0.063  0.041  0.277 
    4   106     6  -0.5  1.00  624  1.00  0.979  -0.001  0.043  0.275 
    4   106     7   0.5  1.00  608  1.00  0.855   0.050  0.042  0.275 
    4   106     8   1.5  1.00  602  1.00  0.806   0.103  0.043  0.287 
    4   106     9   2.5  1.00  611  1.00  0.815   0.100  0.047  0.301 
    4   106    10   3.5  1.00  611  1.00  0.856   0.106  0.050  0.316 
    4   106    11   4.5  1.00  472  1.01  0.935   0.113  0.060  0.324 
    4   106    12   5.5  0.55  430  1.61  0.984   0.034  0.064  0.314 
    5   136     1  -5.5  0.86  443  1.60  1.431   0.038  0.052  0.258 
    5   136     2  -4.5  1.00  430  1.01  1.392   0.096  0.055  0.268 
    5   136     3  -3.5  1.00  481  1.00  1.234   0.166  0.050  0.267 
    5   136     4  -2.5  1.00  466  1.00  1.089   0.153  0.051  0.279 
    5   136     5  -1.5  1.00  468  1.00  0.956   0.044  0.050  0.276 
    5   136     6  -0.5  1.00  444  1.00  0.855  -0.026  0.048  0.267 
    5   136     7   0.5  1.00  443  1.01  0.841  -0.032  0.055  0.307 
    5   136     8   1.5  1.00  449  1.01  0.889  -0.016  0.057  0.317 
    5   136     9   2.5  1.00  458  1.01  0.938  -0.024  0.057  0.309 
    5   136    10   3.5  1.00  464  1.01  1.013   0.029  0.057  0.298 
    5   136    11   4.5  1.00  421  1.01  1.086  -0.029  0.062  0.315 
    5   136    12   5.5  0.75  433  1.51  1.087   0.012  0.063  0.316 
    6   167     1  -5.5  0.96  434  1.61  1.343  -0.074  0.065  0.302 
    6   167     2  -4.5  1.00  419  1.01  1.235  -0.022  0.068  0.315 
    6   167     3  -3.5  1.00  452  1.00  1.079   0.092  0.059  0.303 
    6   167     4  -2.5  1.00  437  1.01  1.011   0.105  0.068  0.338 
    6   167     5  -1.5  1.00  415  1.01  0.948   0.167  0.073  0.348 
    6   167     6  -0.5  1.00  413  1.01  0.896   0.246  0.068  0.342 
    6   167     7   0.5  1.00  431  1.01  0.871   0.208  0.066  0.354 
    6   167     8   1.5  1.00  417  1.01  0.886   0.182  0.078  0.397 
    6   167     9   2.5  1.00  415  1.03  0.898   0.163  0.080  0.389 
    6   167    10   3.5  1.00  427  1.01  0.963   0.137  0.075  0.357 
    6   167    11   4.5  1.00  459  1.00  1.038   0.185  0.075  0.362 
    6   167    12   5.5  0.95  429  1.41  1.058   0.204  0.080  0.367 
    7   197     1  -5.5  0.83  436  1.61  1.331  -0.047  0.070  0.302 
    7   197     2  -4.5  1.00  432  1.11  1.239  -0.021  0.069  0.310 
    7   197     3  -3.5  1.00  415  1.01  1.101   0.017  0.065  0.306 
    7   197     4  -2.5  1.00  408  1.01  1.006   0.034  0.073  0.328 
    7   197     5  -1.5  1.00  441  1.11  0.914   0.115  0.078  0.352 
    7   197     6  -0.5  1.00  456  1.11  0.836   0.369  0.073  0.364 
    7   197     7   0.5  1.00  478  1.10  0.788   0.353  0.072  0.377 
    7   197     8   1.5  1.00  410  1.01  0.784   0.424  0.084  0.401 
    7   197     9   2.5  1.00  437  1.01  0.789   0.385  0.085  0.396 
    7   197    10   3.5  1.00  488  1.00  0.846   0.410  0.084  0.389 
    7   197    11   4.5  1.00  526  1.00  0.924   0.472  0.079  0.376 
    7   197    12   5.5  1.00  422  1.31  0.947   0.543  0.088  0.373 
    8   228     1  -5.5  0.63  426  1.61  1.425   0.033  0.068  0.260 
    8   228     2  -4.5  1.00  452  1.10  1.362   0.076  0.067  0.241 
    8   228     3  -3.5  1.00  417  1.01  1.199   0.090  0.076  0.263 
    8   228     4  -2.5  1.00  410  1.01  1.053   0.096  0.082  0.287 
    8   228     5  -1.5  1.00  432  1.01  0.911   0.183  0.077  0.297 
    8   228     6  -0.5  1.00  484  1.00  0.813   0.248  0.076  0.327 
    8   228     7   0.5  1.00  568  1.00  0.778   0.301  0.069  0.326 
    8   228     8   1.5  1.00  616  1.00  0.765   0.377  0.062  0.316 
    8   228     9   2.5  1.00  661  1.00  0.777   0.376  0.062  0.325 
    8   228    10   3.5  1.00  688  1.00  0.814   0.378  0.061  0.323 
    8   228    11   4.5  1.00  615  1.00  0.838   0.357  0.063  0.318 
    8   228    12   5.5  0.79  478  1.40  0.860   0.370  0.075  0.332 
    9   259     1  -5.5  0.46  436  1.70  1.518   0.220  0.051  0.215 
    9   259     2  -4.5  1.00  438  1.10  1.503   0.242  0.048  0.199 
    9   259     3  -3.5  1.00  465  1.00  1.339   0.214  0.049  0.211 
    9   259     4  -2.5  1.00  480  1.00  1.164   0.178  0.051  0.237 
    9   259     5  -1.5  1.00  521  1.00  0.993   0.214  0.049  0.248 
    9   259     6  -0.5  1.00  588  1.00  0.859   0.190  0.047  0.256 
    9   259     7   0.5  1.00  668  1.00  0.780   0.086  0.048  0.282 
    9   259     8   1.5  1.00  704  1.00  0.750   0.082  0.046  0.278 
    9   259     9   2.5  1.00  724  1.00  0.754   0.035  0.047  0.288 
    9   259    10   3.5  1.00  696  1.00  0.774  -0.015  0.049  0.291 
    9   259    11   4.5  1.00  457  1.00  0.786  -0.070  0.061  0.295 
    9   259    12   5.5  0.33  416  1.61  0.813   0.055  0.067  0.299 
   10   289     1  -5.5  0.24  450  1.81  1.502   0.097  0.033  0.189 
   10   289     2  -4.5  1.00  442  1.11  1.498   0.117  0.031  0.190 
   10   289     3  -3.5  1.00  611  1.00  1.388   0.106  0.026  0.193 
   10   289     4  -2.5  1.00  634  1.00  1.228   0.041  0.029  0.217 
   10   289     5  -1.5  1.00  689  1.00  1.076   0.041  0.031  0.242 
