# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH3b
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  480  2.40  1.127   0.173  0.053  0.317 
    1    16     2  -4.5  0.36  417  1.60  1.042   0.205  0.057  0.339 
    1    16     3  -3.5  1.00  448  1.10  0.990   0.234  0.057  0.368 
    1    16     4  -2.5  1.00  545  1.00  0.955   0.269  0.056  0.395 
    1    16     5  -1.5  1.00  508  1.00  0.914   0.211  0.057  0.406 
    1    16     6  -0.5  1.00  483  1.00  0.923   0.178  0.057  0.396 
    1    16     7   0.5  1.00  517  1.00  0.907   0.160  0.054  0.401 
    1    16     8   1.5  1.00  545  1.00  0.868   0.148  0.058  0.438 
    1    16     9   2.5  1.00  557  1.00  0.813   0.102  0.058  0.441 
    1    16    10   3.5  1.00  417  1.00  0.778   0.044  0.071  0.460 
    1    16    11   4.5  0.61  406  1.50  0.773   0.030  0.072  0.435 
    1    16    12   5.5  0.00  459  2.30  0.779  -0.005  0.069  0.414 
    2    46     1  -5.5  0.00  427  2.20  1.350   0.059  0.062  0.278 
    2    46     2  -4.5  0.57  456  1.50  1.239   0.067  0.061  0.299 
