# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH9a
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  474  2.43  1.043   0.160  0.042  0.247 
    1    16     2  -4.5  0.36  420  1.64  0.985   0.188  0.044  0.265 
    1    16     3  -3.5  1.00  440  1.13  0.953   0.201  0.046  0.291 
    1    16     4  -2.5  1.00  516  1.00  0.957   0.216  0.044  0.305 
    1    16     5  -1.5  1.00  487  1.00  0.963   0.150  0.042  0.296 
    1    16     6  -0.5  1.00  462  1.00  0.988   0.148  0.042  0.284 
    1    16     7   0.5  1.00  490  1.00  0.995   0.128  0.042  0.303 
    1    16     8   1.5  1.00  516  1.00  0.977   0.125  0.044  0.321 
    1    16     9   2.5  1.00  529  1.00  0.941   0.113  0.043  0.315 
    1    16    10   3.5  1.00  418  1.04  0.905   0.103  0.051  0.324 
    1    16    11   4.5  0.61  425  1.57  0.904   0.077  0.050  0.306 
    1    16    12   5.5  0.00  465  2.34  0.908   0.063  0.049  0.295 
    2    46     1  -5.5  0.00  430  2.24  1.191   0.054  0.051  0.228 
    2    46     2  -4.5  0.57  452  1.56  1.125   0.063  0.049  0.239 
    2    46     3  -3.5  1.00  442  1.03  1.032   0.149  0.048  0.254 
    2    46     4  -2.5  1.00  495  1.00  0.978   0.181  0.039  0.260 
