# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH5a
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  480  2.40  1.092   0.134  0.045  0.264 
    1    16     2  -4.5  0.36  419  1.60  1.021   0.153  0.047  0.282 
    1    16     3  -3.5  1.00  448  1.10  0.977   0.170  0.048  0.306 
    1    16     4  -2.5  1.00  544  1.00  0.960   0.206  0.046  0.325 
    1    16     5  -1.5  1.00  507  1.00  0.930   0.161  0.046  0.327 
    1    16     6  -0.5  1.00  483  1.00  0.938   0.123  0.045  0.317 
    1    16     7   0.5  1.00  516  1.00  0.933   0.111  0.044  0.330 
    1    16     8   1.5  1.00  545  1.00  0.909   0.103  0.047  0.358 
    1    16     9   2.5  1.00  557  1.00  0.872   0.068  0.047  0.358 
    1    16    10   3.5  1.00  418  1.00  0.844   0.029  0.057  0.370 
    1    16    11   4.5  0.61  406  1.50  0.842   0.019  0.058  0.350 
    1    16    12   5.5  0.00  457  2.30  0.846  -0.019  0.056  0.334 
    2    46     1  -5.5  0.00  428  2.20  1.288   0.030  0.053  0.235 
    2    46     2  -4.5  0.57  456  1.50  1.202   0.034  0.052  0.252 
    2    46     3  -3.5  1.00  461  1.00  1.079   0.102  0.050  0.267 
    2    46     4  -2.5  1.00  536  1.00  0.989   0.117  0.041  0.283 
    2    46     5  -1.5  1.00  544  1.00  0.979   0.161  0.039  0.292 
    2    46     6  -0.5  1.00  578  1.00  0.968   0.135  0.037  0.279 
    2    46     7   0.5  1.00  631  1.00  0.956   0.121  0.038  0.293 
    2    46     8   1.5  1.00  628  1.00  0.934   0.044  0.042  0.315 
    2    46     9   2.5  1.00  609  1.00  0.911  -0.027  0.043  0.319 
    2    46    10   3.5  1.00  580  1.00  0.885  -0.043  0.046  0.319 
    2    46    11   4.5  1.00  480  1.30  0.865  -0.027  0.054  0.318 
    2    46    12   5.5  0.03  405  1.90  0.882   0.014  0.059  0.305 
    3    75     1  -5.5  0.01  407  1.81  1.418   0.087  0.045  0.222 
    3    75     2  -4.5  1.00  446  1.20  1.384   0.079  0.044  0.222 
    3    75     3  -3.5  1.00  610  1.00  1.293   0.002  0.039  0.237 
    3    75     4  -2.5  1.00  626  1.00  1.196   0.013  0.039  0.261 
    3    75     5  -1.5  1.00  670  1.00  1.104   0.048  0.038  0.276 
    3    75     6  -0.5  1.00  675  1.00  1.010   0.148  0.038  0.268 
    3    75     7   0.5  1.00  678  1.00  0.926   0.189  0.037  0.260 
    3    75     8   1.5  1.00  651  1.00  0.870   0.136  0.040  0.268 
    3    75     9   2.5  1.00  627  1.00  0.853   0.068  0.043  0.282 
    3    75    10   3.5  1.00  607  1.00  0.869   0.058  0.045  0.298 
    3    75    11   4.5  1.00  412  1.00  0.891   0.093  0.055  0.284 
    3    75    12   5.5  0.32  405  1.70  0.918   0.139  0.058  0.294 
    4   106     1  -5.5  0.52  426  1.70  1.442   0.036  0.047  0.235 
    4   106     2  -4.5  1.00  441  1.00  1.425   0.062  0.044  0.229 
    4   106     3  -3.5  1.00  637  1.00  1.332   0.056  0.037  0.236 
    4   106     4  -2.5  1.00  661  1.00  1.210   0.031  0.037  0.245 
    4   106     5  -1.5  1.00  679  1.00  1.085  -0.018  0.039  0.259 
    4   106     6  -0.5  1.00  628  1.00  0.967   0.038  0.039  0.250 
    4   106     7   0.5  1.00  612  1.00  0.869   0.085  0.039  0.255 
    4   106     8   1.5  1.00  605  1.00  0.838   0.145  0.040  0.266 
    4   106     9   2.5  1.00  615  1.00  0.865   0.160  0.045  0.287 
    4   106    10   3.5  1.00  615  1.00  0.920   0.156  0.048  0.303 
