# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH6d
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    12   5.5  0.95  428  1.42  1.185   0.163  0.058  0.261 
    7   197     1  -5.5  0.83  436  1.62  0.969   0.041  0.062  0.275 
    7   197     2  -4.5  1.00  432  1.12  0.935   0.044  0.064  0.294 
    7   197     3  -3.5  1.00  418  1.02  0.880   0.155  0.063  0.297 
    7   197     4  -2.5  1.00  423  1.03  0.834   0.196  0.064  0.294 
    7   197     5  -1.5  1.00  436  1.10  0.803   0.265  0.068  0.304 
    7   197     6  -0.5  1.00  450  1.10  0.785   0.351  0.062  0.304 
    7   197     7   0.5  1.00  477  1.10  0.779   0.344  0.057  0.289 
    7   197     8   1.5  1.00  416  1.02  0.802   0.366  0.066  0.305 
    7   197     9   2.5  1.00  425  1.00  0.855   0.389  0.069  0.302 
    7   197    10   3.5  1.00  478  1.00  0.950   0.429  0.066  0.294 
    7   197    11   4.5  1.00  515  1.00  1.025   0.351  0.060  0.279 
    7   197    12   5.5  1.00  422  1.32  1.039   0.312  0.068  0.277 
    8   228     1  -5.5  0.63  420  1.62  0.982   0.037  0.071  0.279 
    8   228     2  -4.5  1.00  451  1.12  0.958   0.137  0.071  0.269 
    8   228     3  -3.5  1.00  412  1.02  0.897   0.214  0.078  0.279 
    8   228     4  -2.5  1.00  422  1.03  0.835   0.259  0.077  0.274 
    8   228     5  -1.5  1.00  424  1.00  0.776   0.337  0.068  0.264 
    8   228     6  -0.5  1.00  479  1.00  0.754   0.366  0.064  0.271 
