# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class Na
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    12   5.5  0.95  417  1.80  1.339   0.424  0.104  0.397 
    7   197     1  -5.5  0.83  450  1.90  0.872   0.229  0.097  0.425 
    7   197     2  -4.5  1.00  401  1.30  0.786   0.383  0.095  0.418 
    7   197     3  -3.5  1.00  434  1.30  0.764   0.560  0.095  0.433 
    7   197     4  -2.5  1.00  402  1.30  0.751   0.604  0.101  0.429 
    7   197     5  -1.5  1.00  437  1.40  0.729   0.476  0.104  0.445 
    7   197     6  -0.5  1.00  438  1.40  0.708   0.522  0.104  0.448 
    7   197     7   0.5  1.00  465  1.40  0.702   0.375  0.099  0.441 
    7   197     8   1.5  1.00  410  1.30  0.717   0.384  0.101  0.423 
    7   197     9   2.5  1.00  432  1.30  0.795   0.464  0.103  0.418 
    7   197    10   3.5  1.00  425  1.20  0.839   0.397  0.105  0.410 
    7   197    11   4.5  1.00  429  1.20  0.923   0.331  0.101  0.405 
    7   197    12   5.5  1.00  429  1.70  0.989   0.217  0.101  0.402 
    8   228     1  -5.5  0.63  425  1.90  0.896   0.136  0.126  0.503 
    8   228     2  -4.5  1.00  416  1.30  0.871   0.500  0.112  0.416 
    8   228     3  -3.5  1.00  486  1.30  0.831   0.660  0.095  0.381 
    8   228     4  -2.5  1.00  429  1.30  0.796   0.653  0.100  0.360 
    8   228     5  -1.5  1.00  455  1.30  0.785   0.694  0.100  0.376 
    8   228     6  -0.5  1.00  412  1.20  0.778   0.737  0.102  0.377 
