# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class O2Ac
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    12   5.5  0.95  400  2.20  1.164   0.471  0.075  0.346 
    7   197     1  -5.5  0.83  413  2.50  0.660   0.508  0.105  0.452 
    7   197     2  -4.5  1.00  425  2.00  0.629   0.507  0.109  0.470 
    7   197     3  -3.5  1.00  437  1.80  0.619   0.510  0.110  0.475 
    7   197     4  -2.5  1.00  402  1.80  0.638   0.693  0.112  0.460 
    7   197     5  -1.5  1.00  454  1.90  0.645   0.649  0.100  0.421 
    7   197     6  -0.5  1.00  430  1.80  0.662   0.531  0.098  0.405 
    7   197     7   0.5  1.00  406  1.70  0.702   0.483  0.094  0.390 
    7   197     8   1.5  1.00  460  1.70  0.789   0.512  0.085  0.369 
    7   197     9   2.5  1.00  437  1.60  0.900   0.615  0.085  0.363 
    7   197    10   3.5  1.00  448  1.50  0.987   0.541  0.084  0.374 
    7   197    11   4.5  1.00  406  1.50  1.043   0.495  0.087  0.374 
    7   197    12   5.5  1.00  418  2.10  1.035   0.517  0.085  0.379 
    8   228     1  -5.5  0.63  423  2.60  0.690   0.210  0.124  0.473 
    8   228     2  -4.5  1.00  407  2.00  0.659   0.245  0.139  0.495 
    8   228     3  -3.5  1.00  412  1.70  0.643   0.459  0.139  0.501 
    8   228     4  -2.5  1.00  419  1.70  0.655   0.432  0.137  0.477 
    8   228     5  -1.5  1.00  435  1.70  0.694   0.504  0.121  0.445 
    8   228     6  -0.5  1.00  400  1.50  0.688   0.487  0.113  0.426 
    8   228     7   0.5  1.00  418  1.40  0.721   0.611  0.100  0.389 
    8   228     8   1.5  1.00  418  1.30  0.815   0.605  0.101  0.389 
    8   228     9   2.5  1.00  452  1.30  0.909   0.729  0.092  0.386 
    8   228    10   3.5  1.00  401  1.20  0.943   0.648  0.096  0.384 
    8   228    11   4.5  1.00  431  1.40  0.949   0.498  0.091  0.390 
    8   228    12   5.5  0.79  407  2.00  0.973   0.485  0.087  0.377 
    9   259     1  -5.5  0.46  427  2.50  0.831   0.403  0.094  0.412 
    9   259     2  -4.5  1.00  406  1.80  0.852   0.353  0.103  0.423 
    9   259     3  -3.5  1.00  445  1.50  0.893   0.424  0.093  0.420 
    9   259     4  -2.5  1.00  448  1.50  0.936   0.561  0.085  0.402 
    9   259     5  -1.5  1.00  426  1.40  0.890   0.554  0.087  0.384 
    9   259     6  -0.5  1.00  426  1.30  0.866   0.357  0.096  0.410 
    9   259     7   0.5  1.00  466  1.30  0.886   0.437  0.089  0.395 
    9   259     8   1.5  1.00  436  1.20  0.958   0.390  0.086  0.354 
    9   259     9   2.5  1.00  443  1.20  1.032   0.332  0.080  0.352 
