# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class HO2
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    11   4.5  1.00  418  1.00  0.731  -0.090  0.084  0.399 
    6   167    12   5.5  0.95  442  1.50  0.735  -0.023  0.083  0.394 
    7   197     1  -5.5  0.83  448  1.70  1.824  -0.008  0.070  0.298 
    7   197     2  -4.5  1.00  418  1.20  1.773   0.057  0.070  0.300 
    7   197     3  -3.5  1.00  470  1.20  1.517   0.154  0.065  0.298 
    7   197     4  -2.5  1.00  465  1.20  1.288   0.118  0.074  0.332 
    7   197     5  -1.5  1.00  437  1.20  1.113   0.096  0.084  0.371 
    7   197     6  -0.5  1.00  455  1.20  0.905   0.266  0.085  0.404 
    7   197     7   0.5  1.00  405  1.10  0.759   0.210  0.089  0.423 
    7   197     8   1.5  1.00  420  1.10  0.717   0.230  0.090  0.430 
    7   197     9   2.5  1.00  469  1.10  0.687   0.152  0.089  0.419 
    7   197    10   3.5  1.00  439  1.00  0.702   0.116  0.097  0.422 
    7   197    11   4.5  1.00  479  1.00  0.740   0.172  0.088  0.406 
    7   197    12   5.5  1.00  451  1.40  0.748   0.183  0.088  0.390 
    8   228     1  -5.5  0.63  427  1.70  1.863   0.090  0.072  0.280 
    8   228     2  -4.5  1.00  405  1.10  1.804   0.111  0.082  0.278 
    8   228     3  -3.5  1.00  423  1.10  1.540   0.097  0.083  0.293 
    8   228     4  -2.5  1.00  407  1.10  1.296   0.058  0.089  0.311 
    8   228     5  -1.5  1.00  431  1.10  1.087   0.024  0.089  0.342 
    8   228     6  -0.5  1.00  418  1.00  0.890   0.110  0.103  0.402 
