# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH5b
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    12   5.5  0.95  428  1.40  1.217   0.176  0.086  0.389 
    7   197     1  -5.5  0.83  431  1.60  1.235  -0.065  0.084  0.365 
    7   197     2  -4.5  1.00  428  1.10  1.142  -0.001  0.083  0.376 
    7   197     3  -3.5  1.00  412  1.00  1.011   0.108  0.078  0.364 
    7   197     4  -2.5  1.00  407  1.00  0.917   0.139  0.085  0.385 
    7   197     5  -1.5  1.00  440  1.10  0.827   0.214  0.090  0.406 
    7   197     6  -0.5  1.00  455  1.10  0.763   0.453  0.084  0.420 
    7   197     7   0.5  1.00  481  1.10  0.736   0.456  0.081  0.430 
    7   197     8   1.5  1.00  408  1.00  0.760   0.551  0.094  0.447 
    7   197     9   2.5  1.00  435  1.00  0.808   0.528  0.094  0.432 
    7   197    10   3.5  1.00  492  1.00  0.926   0.562  0.090  0.418 
    7   197    11   4.5  1.00  529  1.00  1.035   0.526  0.084  0.401 
    7   197    12   5.5  1.00  420  1.30  1.063   0.544  0.096  0.406 
    8   228     1  -5.5  0.63  423  1.60  1.335   0.021  0.086  0.327 
    8   228     2  -4.5  1.00  453  1.10  1.270   0.069  0.085  0.311 
    8   228     3  -3.5  1.00  413  1.00  1.098   0.098  0.095  0.334 
    8   228     4  -2.5  1.00  408  1.00  0.950   0.126  0.101  0.354 
    8   228     5  -1.5  1.00  431  1.00  0.811   0.251  0.090  0.350 
    8   228     6  -0.5  1.00  487  1.00  0.734   0.310  0.089  0.382 
    8   228     7   0.5  1.00  572  1.00  0.719   0.372  0.080  0.382 
    8   228     8   1.5  1.00  622  1.00  0.734   0.459  0.072  0.369 
    8   228     9   2.5  1.00  667  1.00  0.792   0.439  0.069  0.361 
    8   228    10   3.5  1.00  693  1.00  0.864   0.435  0.068  0.359 
    8   228    11   4.5  1.00  618  1.00  0.908   0.351  0.072  0.365 
    8   228    12   5.5  0.79  481  1.40  0.941   0.344  0.086  0.382 
    9   259     1  -5.5  0.46  436  1.70  1.444   0.260  0.064  0.273 
    9   259     2  -4.5  1.00  440  1.10  1.420   0.296  0.061  0.255 
    9   259     3  -3.5  1.00  467  1.00  1.236   0.266  0.063  0.271 
    9   259     4  -2.5  1.00  481  1.00  1.058   0.233  0.062  0.287 
    9   259     5  -1.5  1.00  522  1.00  0.891   0.296  0.057  0.291 
    9   259     6  -0.5  1.00  589  1.00  0.769   0.271  0.053  0.296 
    9   259     7   0.5  1.00  671  1.00  0.717   0.155  0.055  0.328 
    9   259     8   1.5  1.00  707  1.00  0.727   0.163  0.053  0.323 
    9   259     9   2.5  1.00  727  1.00  0.778   0.055  0.055  0.334 
    9   259    10   3.5  1.00  699  1.00  0.829   0.001  0.056  0.340 
    9   259    11   4.5  1.00  458  1.00  0.851  -0.064  0.072  0.349 
    9   259    12   5.5  0.33  414  1.60  0.882   0.045  0.077  0.344 
   10   289     1  -5.5  0.24  448  1.80  1.416   0.131  0.041  0.235 
   10   289     2  -4.5  1.00  442  1.10  1.416   0.159  0.039  0.236 
   10   289     3  -3.5  1.00  614  1.00  1.296   0.154  0.032  0.236 
   10   289     4  -2.5  1.00  638  1.00  1.148   0.087  0.035  0.262 
   10   289     5  -1.5  1.00  693  1.00  1.005   0.083  0.036  0.287 
   10   289     6  -0.5  1.00  714  1.00  0.913   0.049  0.039  0.309 
   10   289     7   0.5  1.00  709  1.00  0.873   0.128  0.041  0.318 
   10   289     8   1.5  1.00  671  1.00  0.882   0.190  0.041  0.308 
   10   289     9   2.5  1.00  636  1.00  0.911   0.222  0.043  0.313 
   10   289    10   3.5  1.00  541  1.00  0.938   0.198  0.050  0.331 
   10   289    11   4.5  0.81  426  1.30  0.922   0.123  0.061  0.338 
   10   289    12   5.5  0.00  455  2.00  0.911   0.084  0.063  0.338 
   11   320     1  -5.5  0.00  452  2.00  1.308   0.097  0.039  0.236 
   11   320     2  -4.5  0.91  408  1.20  1.288   0.122  0.040  0.239 
   11   320     3  -3.5  1.00  621  1.00  1.197   0.125  0.032  0.243 
   11   320     4  -2.5  1.00  687  1.00  1.113   0.154  0.031  0.271 
   11   320     5  -1.5  1.00  729  1.00  1.077   0.120  0.032  0.295 
   11   320     6  -0.5  1.00  696  1.00  1.061   0.115  0.037  0.324 
   11   320     7   0.5  1.00  639  1.00  1.041   0.205  0.039  0.329 
   11   320     8   1.5  1.00  618  1.00  0.998   0.208  0.039  0.319 
   11   320     9   2.5  1.00  575  1.00  0.966   0.151  0.041  0.320 
   11   320    10   3.5  1.00  455  1.10  0.975   0.149  0.046  0.318 
   11   320    11   4.5  0.40  451  1.70  0.933   0.185  0.051  0.334 
   11   320    12   5.5  0.00  467  2.40  0.930   0.114  0.053  0.337 
   12   350     1  -5.5  0.00  464  2.30  1.171   0.094  0.043  0.266 
   12   350     2  -4.5  0.52  431  1.50  1.081   0.140  0.047  0.289 
   12   350     3  -3.5  1.00  466  1.00  1.010   0.228  0.043  0.304 
   12   350     4  -2.5  1.00  610  1.00  0.973   0.314  0.040  0.327 
   12   350     5  -1.5  1.00  572  1.00  0.991   0.352  0.045  0.349 
   12   350     6  -0.5  1.00  523  1.00  1.020   0.337  0.048  0.368 
   12   350     7   0.5  1.00  480  1.00  0.998   0.349  0.053  0.389 
   12   350     8   1.5  1.00  480  1.00  0.904   0.342  0.053  0.380 
   12   350     9   2.5  1.00  500  1.00  0.828   0.201  0.052  0.373 
   12   350    10   3.5  1.00  449  1.20  0.815   0.198  0.055  0.381 
   12   350    11   4.5  0.31  480  1.80  0.843   0.091  0.061  0.418 
   12   350    12   5.5  0.00  464  2.50  0.870   0.106  0.062  0.408 
