# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH9b
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  472  2.44  1.015   0.199  0.048  0.285 
    1    16     2  -4.5  0.36  418  1.65  0.956   0.236  0.052  0.308 
    1    16     3  -3.5  1.00  437  1.14  0.928   0.251  0.053  0.338 
    1    16     4  -2.5  1.00  507  1.00  0.943   0.266  0.052  0.356 
    1    16     5  -1.5  1.00  480  1.00  0.969   0.175  0.049  0.342 
    1    16     6  -0.5  1.00  455  1.00  1.006   0.186  0.048  0.325 
    1    16     7   0.5  1.00  482  1.00  1.016   0.156  0.049  0.348 
    1    16     8   1.5  1.00  507  1.00  0.990   0.152  0.051  0.367 
    1    16     9   2.5  1.00  520  1.00  0.941   0.148  0.050  0.358 
    1    16    10   3.5  1.00  417  1.05  0.894   0.143  0.058  0.369 
    1    16    11   4.5  0.61  432  1.59  0.893   0.106  0.057  0.347 
    1    16    12   5.5  0.00  469  2.35  0.899   0.096  0.055  0.335 
    2    46     1  -5.5  0.00  428  2.25  1.172   0.074  0.058  0.262 
    2    46     2  -4.5  0.57  450  1.58  1.103   0.091  0.056  0.274 
    2    46     3  -3.5  1.00  435  1.04  1.010   0.198  0.055  0.294 
    2    46     4  -2.5  1.00  481  1.00  0.965   0.237  0.046  0.299 
    2    46     5  -1.5  1.00  494  1.00  1.000   0.232  0.043  0.294 
    2    46     6  -0.5  1.00  530  1.00  1.018   0.236  0.040  0.285 
    2    46     7   0.5  1.00  581  1.00  1.017   0.224  0.041  0.303 
    2    46     8   1.5  1.00  586  1.00  1.008   0.119  0.044  0.320 
    2    46     9   2.5  1.00  570  1.00  0.987   0.060  0.045  0.322 
    2    46    10   3.5  1.00  545  1.00  0.941   0.045  0.049  0.323 
    2    46    11   4.5  1.00  449  1.30  0.923   0.064  0.058  0.327 
    2    46    12   5.5  0.03  410  1.95  0.954   0.100  0.063  0.317 
    3    75     1  -5.5  0.01  421  1.90  1.284   0.123  0.048  0.243 
    3    75     2  -4.5  1.00  436  1.24  1.264   0.114  0.049  0.242 
    3    75     3  -3.5  1.00  544  1.00  1.187   0.054  0.043  0.244 
    3    75     4  -2.5  1.00  559  1.00  1.121   0.129  0.040  0.250 
    3    75     5  -1.5  1.00  611  1.00  1.058   0.212  0.036  0.249 
    3    75     6  -0.5  1.00  627  1.00  1.005   0.291  0.035  0.244 
    3    75     7   0.5  1.00  638  1.00  0.953   0.325  0.036  0.246 
    3    75     8   1.5  1.00  616  1.00  0.920   0.238  0.042  0.271 
    3    75     9   2.5  1.00  593  1.00  0.929   0.170  0.046  0.292 
    3    75    10   3.5  1.00  576  1.00  0.959   0.173  0.049  0.313 
    3    75    11   4.5  1.00  415  1.05  0.996   0.186  0.061  0.306 
    3    75    12   5.5  0.32  430  1.75  1.026   0.187  0.061  0.312 
    4   106     1  -5.5  0.52  438  1.75  1.294   0.116  0.051  0.257 
    4   106     2  -4.5  1.00  429  1.05  1.304   0.089  0.049  0.253 
    4   106     3  -3.5  1.00  587  1.00  1.226   0.063  0.040  0.244 
    4   106     4  -2.5  1.00  618  1.00  1.126   0.074  0.036  0.230 
    4   106     5  -1.5  1.00  645  1.00  1.038   0.082  0.035  0.229 
    4   106     6  -0.5  1.00  604  1.00  0.965   0.138  0.035  0.226 
    4   106     7   0.5  1.00  589  1.00  0.919   0.186  0.037  0.241 
    4   106     8   1.5  1.00  578  1.00  0.924   0.246  0.040  0.253 
    4   106     9   2.5  1.00  590  1.00  0.985   0.261  0.046  0.284 
    4   106    10   3.5  1.00  595  1.00  1.061   0.231  0.047  0.298 
    4   106    11   4.5  1.00  458  1.01  1.149   0.193  0.058  0.311 
    4   106    12   5.5  0.55  418  1.61  1.197   0.119  0.063  0.308 
    5   136     1  -5.5  0.86  440  1.64  1.199   0.165  0.056  0.269 
    5   136     2  -4.5  1.00  436  1.05  1.168   0.200  0.056  0.274 
    5   136     3  -3.5  1.00  460  1.00  1.068   0.227  0.051  0.263 
    5   136     4  -2.5  1.00  451  1.00  0.985   0.225  0.050  0.267 
    5   136     5  -1.5  1.00  455  1.00  0.921   0.168  0.047  0.259 
    5   136     6  -0.5  1.00  434  1.00  0.883   0.093  0.046  0.254 
    5   136     7   0.5  1.00  431  1.01  0.925   0.109  0.052  0.277 
    5   136     8   1.5  1.00  435  1.01  1.024   0.117  0.052  0.276 
    5   136     9   2.5  1.00  446  1.01  1.113   0.083  0.051  0.273 
    5   136    10   3.5  1.00  453  1.01  1.218   0.068  0.052  0.274 
    5   136    11   4.5  1.00  436  1.05  1.291   0.019  0.057  0.292 
    5   136    12   5.5  0.75  422  1.52  1.294   0.060  0.060  0.298 
    6   167     1  -5.5  0.96  431  1.65  1.105   0.006  0.064  0.297 
    6   167     2  -4.5  1.00  422  1.05  1.037   0.072  0.063  0.290 
    6   167     3  -3.5  1.00  444  1.00  0.949   0.171  0.055  0.279 
    6   167     4  -2.5  1.00  433  1.01  0.917   0.184  0.061  0.301 
    6   167     5  -1.5  1.00  411  1.01  0.883   0.264  0.066  0.312 
    6   167     6  -0.5  1.00  428  1.05  0.860   0.285  0.058  0.297 
    6   167     7   0.5  1.00  420  1.01  0.876   0.243  0.059  0.306 
    6   167     8   1.5  1.00  426  1.05  0.929   0.232  0.068  0.334 
    6   167     9   2.5  1.00  425  1.07  1.006   0.255  0.070  0.330 
    6   167    10   3.5  1.00  433  1.05  1.113   0.185  0.068  0.316 
    6   167    11   4.5  1.00  439  1.01  1.206   0.177  0.067  0.310 
    6   167    12   5.5  0.95  433  1.45  1.223   0.178  0.070  0.315 
    7   197     1  -5.5  0.83  444  1.65  1.085   0.003  0.070  0.304 
