# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class O2a
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    12   5.5  0.95  435  1.50  0.778   0.259  0.083  0.382 
    7   197     1  -5.5  0.83  442  1.70  2.817  -0.003  0.117  0.419 
    7   197     2  -4.5  1.00  414  1.20  2.158   0.134  0.106  0.367 
    7   197     3  -3.5  1.00  469  1.20  1.217   0.212  0.089  0.333 
    7   197     4  -2.5  1.00  466  1.20  0.723   0.242  0.071  0.318 
    7   197     5  -1.5  1.00  440  1.20  0.545   0.280  0.075  0.333 
    7   197     6  -0.5  1.00  468  1.20  0.445   0.462  0.072  0.354 
    7   197     7   0.5  1.00  417  1.10  0.400   0.466  0.072  0.340 
    7   197     8   1.5  1.00  423  1.10  0.411   0.514  0.079  0.350 
    7   197     9   2.5  1.00  463  1.10  0.478   0.507  0.094  0.402 
    7   197    10   3.5  1.00  430  1.00  0.577   0.529  0.103  0.428 
    7   197    11   4.5  1.00  470  1.00  0.639   0.351  0.090  0.403 
    7   197    12   5.5  1.00  438  1.40  0.667   0.341  0.094  0.399 
    8   228     1  -5.5  0.63  427  1.70  3.212   0.082  0.119  0.418 
    8   228     2  -4.5  1.00  406  1.10  2.834   0.166  0.155  0.445 
    8   228     3  -3.5  1.00  430  1.10  1.397   0.236  0.116  0.319 
    8   228     4  -2.5  1.00  415  1.10  0.766   0.168  0.093  0.316 
    8   228     5  -1.5  1.00  437  1.10  0.536   0.226  0.079  0.305 
    8   228     6  -0.5  1.00  421  1.00  0.431   0.367  0.084  0.336 
    8   228     7   0.5  1.00  512  1.00  0.390   0.449  0.075  0.340 
    8   228     8   1.5  1.00  566  1.00  0.398   0.558  0.070  0.344 
    8   228     9   2.5  1.00  616  1.00  0.450   0.487  0.070  0.346 
    8   228    10   3.5  1.00  635  1.00  0.506   0.598  0.073  0.366 
    8   228    11   4.5  1.00  569  1.00  0.544   0.416  0.079  0.388 
    8   228    12   5.5  0.79  443  1.40  0.564   0.286  0.089  0.388 
    9   259     1  -5.5  0.46  465  1.80  3.321   0.221  0.101  0.401 
    9   259     2  -4.5  1.00  401  1.10  3.136   0.220  0.122  0.400 
    9   259     3  -3.5  1.00  424  1.00  1.509   0.173  0.099  0.313 
    9   259     4  -2.5  1.00  436  1.00  0.842   0.261  0.071  0.310 
    9   259     5  -1.5  1.00  476  1.00  0.583   0.334  0.060  0.293 
    9   259     6  -0.5  1.00  541  1.00  0.475   0.386  0.059  0.316 
    9   259     7   0.5  1.00  620  1.00  0.434   0.298  0.058  0.334 
    9   259     8   1.5  1.00  677  1.00  0.454   0.322  0.062  0.363 
    9   259     9   2.5  1.00  704  1.00  0.503   0.187  0.063  0.375 
    9   259    10   3.5  1.00  666  1.00  0.553   0.178  0.067  0.393 
    9   259    11   4.5  1.00  437  1.00  0.561   0.251  0.085  0.401 
    9   259    12   5.5  0.33  462  1.70  0.559   0.256  0.082  0.392 
   10   289     1  -5.5  0.24  405  1.80  3.340   0.017  0.077  0.369 
   10   289     2  -4.5  1.00  443  1.20  2.803   0.121  0.066  0.320 
   10   289     3  -3.5  1.00  562  1.00  1.824   0.213  0.056  0.259 
   10   289     4  -2.5  1.00  577  1.00  1.016   0.201  0.044  0.293 
   10   289     5  -1.5  1.00  629  1.00  0.723   0.265  0.040  0.275 
   10   289     6  -0.5  1.00  642  1.00  0.610   0.259  0.043  0.302 
   10   289     7   0.5  1.00  649  1.00  0.581   0.364  0.045  0.321 
   10   289     8   1.5  1.00  633  1.00  0.602   0.365  0.049  0.357 
   10   289     9   2.5  1.00  591  1.00  0.629   0.256  0.056  0.404 
   10   289    10   3.5  1.00  502  1.00  0.650   0.164  0.063  0.418 
   10   289    11   4.5  0.81  468  1.40  0.625   0.179  0.069  0.407 
   10   289    12   5.5  0.00  430  2.00  0.599   0.289  0.075  0.393 
   11   320     1  -5.5  0.00  406  2.00  3.002   0.004  0.056  0.284 
   11   320     2  -4.5  0.91  438  1.30  2.690   0.062  0.052  0.278 
   11   320     3  -3.5  1.00  564  1.00  2.021   0.185  0.048  0.261 
   11   320     4  -2.5  1.00  628  1.00  1.182   0.267  0.037  0.255 
   11   320     5  -1.5  1.00  661  1.00  0.887   0.257  0.032  0.259 
   11   320     6  -0.5  1.00  612  1.00  0.777   0.280  0.035  0.273 
   11   320     7   0.5  1.00  572  1.00  0.733   0.385  0.040  0.305 
   11   320     8   1.5  1.00  559  1.00  0.711   0.340  0.043  0.337 
   11   320     9   2.5  1.00  530  1.00  0.671   0.239  0.051  0.395 
   11   320    10   3.5  1.00  424  1.10  0.653   0.192  0.061  0.414 
   11   320    11   4.5  0.40  411  1.70  0.627   0.207  0.064  0.405 
   11   320    12   5.5  0.00  433  2.40  0.620   0.197  0.065  0.408 
   12   350     1  -5.5  0.00  409  2.30  2.830   0.024  0.052  0.284 
   12   350     2  -4.5  0.52  439  1.60  2.450   0.138  0.047  0.272 
   12   350     3  -3.5  1.00  412  1.00  2.076   0.137  0.053  0.281 
   12   350     4  -2.5  1.00  558  1.00  1.316   0.289  0.041  0.253 
   12   350     5  -1.5  1.00  527  1.00  0.962   0.425  0.038  0.294 
   12   350     6  -0.5  1.00  473  1.00  0.844   0.422  0.043  0.312 
   12   350     7   0.5  1.00  435  1.00  0.777   0.435  0.055  0.375 
   12   350     8   1.5  1.00  435  1.00  0.695   0.394  0.061  0.411 
   12   350     9   2.5  1.00  455  1.00  0.595   0.238  0.052  0.354 
   12   350    10   3.5  1.00  488  1.30  0.568   0.295  0.057  0.406 
   12   350    11   4.5  0.31  420  1.80  0.553   0.223  0.068  0.437 
   12   350    12   5.5  0.00  402  2.50  0.554   0.209  0.063  0.387 
