# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class K
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    11   4.5  1.00  100  1.40  1.562   0.219  0.129  0.468 
    6   167    12   5.5  0.95  100  1.90  1.578   0.163  0.123  0.465 
    7   197     1  -5.5  0.83  106  2.10  1.004  -0.044  0.098  0.354 
    7   197     2  -4.5  1.00  101  1.40  0.992   0.035  0.107  0.351 
    7   197     3  -3.5  1.00  105  1.30  1.002   0.045  0.124  0.370 
    7   197     4  -2.5  1.00  107  1.50  1.019  -0.007  0.124  0.379 
    7   197     5  -1.5  1.00  105  1.60  1.138  -0.056  0.147  0.399 
    7   197     6  -0.5  1.00  103  1.50  1.155  -0.103  0.174  0.431 
    7   197     7   0.5  1.00  100  1.40  1.167  -0.017  0.157  0.433 
    7   197     8   1.5  1.00  114  1.40  1.129   0.181  0.159  0.504 
    7   197     9   2.5  1.00  114  1.30  1.191   0.331  0.151  0.539 
    7   197    10   3.5  1.00  106  1.30  1.229   0.323  0.144  0.525 
    7   197    11   4.5  1.00  105  1.40  1.385   0.186  0.120  0.450 
    7   197    12   5.5  1.00  118  2.10  1.397   0.227  0.115  0.461 
    8   228     1  -5.5  0.63  101  2.10  0.896   0.173  0.137  0.379 
    8   228     2  -4.5  1.00  100  1.40  0.874   0.005  0.148  0.372 
    8   228     3  -3.5  1.00  101  1.30  0.867  -0.008  0.137  0.340 
    8   228     4  -2.5  1.00  103  1.50  0.818   0.237  0.135  0.369 
    8   228     5  -1.5  1.00  105  1.60  0.839   0.112  0.112  0.408 
    8   228     6  -0.5  1.00  112  1.60  0.786   0.064  0.093  0.429 
    8   228     7   0.5  1.00  113  1.50  0.839   0.056  0.100  0.440 
    8   228     8   1.5  1.00  102  1.40  0.909   0.135  0.110  0.453 
    8   228     9   2.5  1.00  122  1.40  1.021   0.185  0.106  0.505 
    8   228    10   3.5  1.00  114  1.30  1.022   0.149  0.084  0.432 
    8   228    11   4.5  1.00  107  1.40  1.124   0.118  0.095  0.450 
    8   228    12   5.5  0.79  112  2.10  1.291   0.150  0.108  0.460 
    9   259     1  -5.5  0.46  114  2.20  0.807   0.104  0.139  0.396 
    9   259     2  -4.5  1.00  113  1.60  0.772   0.157  0.135  0.406 
    9   259     3  -3.5  1.00  103  1.30  0.747   0.289  0.148  0.428 
    9   259     4  -2.5  1.00  104  1.40  0.791   0.181  0.110  0.436 
    9   259     5  -1.5  1.00  113  1.50  0.820  -0.048  0.084  0.419 
    9   259     6  -0.5  1.00  102  1.40  0.825  -0.032  0.079  0.425 
    9   259     7   0.5  1.00  112  1.30  0.803   0.074  0.092  0.536 
    9   259     8   1.5  1.00  105  1.20  0.928   0.035  0.113  0.611 
    9   259     9   2.5  1.00  107  1.20  0.985  -0.011  0.097  0.532 
    9   259    10   3.5  1.00  103  1.00  1.078   0.019  0.084  0.441 
    9   259    11   4.5  1.00  117  1.50  1.135   0.044  0.091  0.511 
    9   259    12   5.5  0.33  105  2.10  1.212   0.029  0.097  0.485 
   10   289     1  -5.5  0.24  109  2.40  0.752   0.037  0.107  0.403 
   10   289     2  -4.5  1.00  105  1.60  0.774   0.013  0.109  0.419 
   10   289     3  -3.5  1.00  108  1.20  0.798  -0.023  0.109  0.433 
   10   289     4  -2.5  1.00  106  1.30  0.819  -0.078  0.100  0.435 
