# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH8c
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  472  2.40  0.995   0.207  0.050  0.306 
    1    16     2  -4.5  0.36  425  1.62  0.944   0.221  0.054  0.333 
    1    16     3  -3.5  1.00  441  1.10  0.923   0.240  0.057  0.357 
    1    16     4  -2.5  1.00  534  1.00  0.949   0.271  0.053  0.375 
    1    16     5  -1.5  1.00  498  1.00  0.988   0.188  0.052  0.366 
    1    16     6  -0.5  1.00  474  1.00  1.034   0.209  0.050  0.340 
    1    16     7   0.5  1.00  509  1.00  1.055   0.166  0.049  0.360 
    1    16     8   1.5  1.00  538  1.00  1.016   0.155  0.050  0.371 
    1    16     9   2.5  1.00  549  1.00  0.954   0.175  0.047  0.353 
    1    16    10   3.5  1.00  418  1.02  0.911   0.184  0.057  0.367 
    1    16    11   4.5  0.61  411  1.52  0.905   0.146  0.060  0.359 
    1    16    12   5.5  0.00  462  2.32  0.910   0.122  0.057  0.342 
    2    46     1  -5.5  0.00  435  2.22  1.131   0.135  0.059  0.283 
    2    46     2  -4.5  0.57  451  1.50  1.064   0.171  0.055  0.284 
    2    46     3  -3.5  1.00  453  1.00  0.990   0.225  0.054  0.313 
    2    46     4  -2.5  1.00  524  1.00  0.971   0.260  0.045  0.317 
    2    46     5  -1.5  1.00  532  1.00  1.008   0.254  0.043  0.314 
    2    46     6  -0.5  1.00  566  1.00  1.033   0.271  0.041  0.305 
    2    46     7   0.5  1.00  618  1.00  1.039   0.251  0.042  0.320 
    2    46     8   1.5  1.00  621  1.00  1.023   0.151  0.044  0.327 
    2    46     9   2.5  1.00  602  1.00  0.989   0.091  0.044  0.322 
    2    46    10   3.5  1.00  570  1.00  0.943   0.088  0.047  0.326 
    2    46    11   4.5  1.00  472  1.30  0.928   0.106  0.056  0.329 
    2    46    12   5.5  0.03  417  1.94  0.958   0.124  0.063  0.324 
    3    75     1  -5.5  0.01  438  1.86  1.227   0.153  0.052  0.268 
    3    75     2  -4.5  1.00  442  1.20  1.215   0.162  0.052  0.265 
    3    75     3  -3.5  1.00  603  1.00  1.140   0.133  0.040  0.250 
    3    75     4  -2.5  1.00  616  1.00  1.094   0.204  0.037  0.254 
    3    75     5  -1.5  1.00  659  1.00  1.046   0.276  0.035  0.253 
    3    75     6  -0.5  1.00  665  1.00  1.007   0.332  0.035  0.254 
    3    75     7   0.5  1.00  669  1.00  0.959   0.363  0.036  0.254 
    3    75     8   1.5  1.00  641  1.00  0.927   0.266  0.042  0.280 
    3    75     9   2.5  1.00  614  1.00  0.940   0.195  0.046  0.297 
    3    75    10   3.5  1.00  596  1.00  0.971   0.192  0.048  0.318 
    3    75    11   4.5  1.00  414  1.03  1.008   0.195  0.064  0.318 
    3    75    12   5.5  0.32  437  1.75  1.046   0.199  0.064  0.327 
    4   106     1  -5.5  0.52  432  1.72  1.243   0.104  0.057  0.284 
    4   106     2  -4.5  1.00  439  1.02  1.255   0.088  0.053  0.275 
    4   106     3  -3.5  1.00  623  1.00  1.187   0.090  0.041  0.259 
    4   106     4  -2.5  1.00  650  1.00  1.104   0.115  0.036  0.237 
    4   106     5  -1.5  1.00  666  1.00  1.032   0.112  0.036  0.240 
    4   106     6  -0.5  1.00  615  1.00  0.970   0.152  0.036  0.239 
    4   106     7   0.5  1.00  600  1.00  0.937   0.190  0.038  0.254 
    4   106     8   1.5  1.00  593  1.00  0.949   0.250  0.042  0.267 
    4   106     9   2.5  1.00  602  1.00  1.012   0.271  0.046  0.292 
    4   106    10   3.5  1.00  600  1.00  1.098   0.237  0.048  0.307 
    4   106    11   4.5  1.00  457  1.00  1.185   0.183  0.060  0.322 
    4   106    12   5.5  0.55  424  1.62  1.236   0.121  0.065  0.322 
    5   136     1  -5.5  0.86  437  1.60  1.153   0.140  0.059  0.289 
    5   136     2  -4.5  1.00  431  1.02  1.121   0.197  0.058  0.287 
    5   136     3  -3.5  1.00  475  1.00  1.042   0.240  0.051  0.271 
    5   136     4  -2.5  1.00  462  1.00  0.974   0.238  0.050  0.277 
    5   136     5  -1.5  1.00  462  1.00  0.921   0.171  0.049  0.276 
    5   136     6  -0.5  1.00  440  1.00  0.891   0.072  0.049  0.273 
    5   136     7   0.5  1.00  443  1.02  0.947   0.093  0.054  0.293 
    5   136     8   1.5  1.00  449  1.02  1.053   0.119  0.054  0.289 
    5   136     9   2.5  1.00  457  1.02  1.146   0.098  0.052  0.282 
    5   136    10   3.5  1.00  461  1.02  1.260   0.091  0.054  0.288 
    5   136    11   4.5  1.00  418  1.02  1.345   0.034  0.061  0.306 
    5   136    12   5.5  0.75  425  1.52  1.339   0.072  0.062  0.310 
    6   167     1  -5.5  0.96  432  1.62  1.065  -0.006  0.068  0.323 
    6   167     2  -4.5  1.00  417  1.02  1.004   0.063  0.065  0.306 
    6   167     3  -3.5  1.00  448  1.00  0.930   0.163  0.058  0.295 
    6   167     4  -2.5  1.00  436  1.02  0.900   0.170  0.062  0.309 
    6   167     5  -1.5  1.00  414  1.02  0.873   0.237  0.067  0.318 
    6   167     6  -0.5  1.00  411  1.02  0.860   0.235  0.061  0.307 
    6   167     7   0.5  1.00  429  1.02  0.882   0.196  0.060  0.314 
    6   167     8   1.5  1.00  414  1.02  0.951   0.232  0.068  0.332 
    6   167     9   2.5  1.00  441  1.08  1.039   0.278  0.069  0.329 
    6   167    10   3.5  1.00  424  1.02  1.151   0.197  0.071  0.327 
    6   167    11   4.5  1.00  451  1.00  1.252   0.184  0.067  0.317 
    6   167    12   5.5  0.95  422  1.42  1.271   0.149  0.071  0.321 
    7   197     1  -5.5  0.83  433  1.61  1.044  -0.004  0.076  0.336 
    7   197     2  -4.5  1.00  430  1.12  0.992   0.037  0.077  0.353 
    7   197     3  -3.5  1.00  410  1.02  0.919   0.142  0.077  0.359 
    7   197     4  -2.5  1.00  408  1.02  0.860   0.179  0.080  0.361 
    7   197     5  -1.5  1.00  436  1.12  0.819   0.260  0.085  0.384 
    7   197     6  -0.5  1.00  451  1.12  0.791   0.408  0.080  0.397 
    7   197     7   0.5  1.00  468  1.10  0.772   0.410  0.071  0.364 
    7   197     8   1.5  1.00  406  1.02  0.805   0.476  0.082  0.379 
    7   197     9   2.5  1.00  435  1.02  0.874   0.481  0.084  0.373 
    7   197    10   3.5  1.00  479  1.00  0.988   0.492  0.080  0.356 
    7   197    11   4.5  1.00  514  1.00  1.081   0.400  0.072  0.337 
    7   197    12   5.5  1.00  417  1.32  1.104   0.369  0.082  0.339 
    8   228     1  -5.5  0.63  422  1.62  1.085   0.029  0.084  0.326 
    8   228     2  -4.5  1.00  446  1.10  1.044   0.100  0.084  0.314 
    8   228     3  -3.5  1.00  415  1.02  0.950   0.150  0.091  0.326 
    8   228     4  -2.5  1.00  429  1.05  0.860   0.193  0.091  0.330 
    8   228     5  -1.5  1.00  430  1.02  0.771   0.274  0.083  0.328 
    8   228     6  -0.5  1.00  471  1.00  0.736   0.332  0.080  0.338 
    8   228     7   0.5  1.00  557  1.00  0.735   0.370  0.070  0.329 
    8   228     8   1.5  1.00  605  1.00  0.764   0.411  0.064  0.321 
    8   228     9   2.5  1.00  652  1.00  0.833   0.363  0.060  0.304 
    8   228    10   3.5  1.00  680  1.00  0.902   0.378  0.058  0.305 
    8   228    11   4.5  1.00  608  1.00  0.943   0.270  0.063  0.319 
    8   228    12   5.5  0.79  471  1.40  0.976   0.220  0.074  0.327 
    9   259     1  -5.5  0.46  439  1.72  1.164   0.188  0.064  0.273 
    9   259     2  -4.5  1.00  433  1.10  1.148   0.222  0.063  0.260 
    9   259     3  -3.5  1.00  459  1.00  1.053   0.222  0.060  0.264 
    9   259     4  -2.5  1.00  476  1.00  0.945   0.211  0.058  0.264 
    9   259     5  -1.5  1.00  516  1.00  0.842   0.244  0.051  0.258 
    9   259     6  -0.5  1.00  583  1.00  0.767   0.224  0.048  0.261 
    9   259     7   0.5  1.00  662  1.00  0.750   0.149  0.048  0.283 
    9   259     8   1.5  1.00  699  1.00  0.789   0.179  0.047  0.281 
    9   259     9   2.5  1.00  719  1.00  0.857   0.054  0.047  0.288 
    9   259    10   3.5  1.00  692  1.00  0.913   0.012  0.049  0.297 
    9   259    11   4.5  1.00  454  1.00  0.928  -0.019  0.062  0.301 
    9   259    12   5.5  0.33  418  1.62  0.942   0.034  0.065  0.295 
   10   289     1  -5.5  0.24  449  1.82  1.180   0.107  0.041  0.238 
   10   289     2  -4.5  1.00  438  1.12  1.198   0.119  0.038  0.232 
   10   289     3  -3.5  1.00  605  1.00  1.140   0.133  0.030  0.222 
   10   289     4  -2.5  1.00  628  1.00  1.059   0.093  0.032  0.240 
   10   289     5  -1.5  1.00  683  1.00  0.972   0.096  0.032  0.249 
   10   289     6  -0.5  1.00  705  1.00  0.925   0.096  0.034  0.263 
   10   289     7   0.5  1.00  700  1.00  0.924   0.193  0.035  0.266 
   10   289     8   1.5  1.00  665  1.00  0.958   0.236  0.036  0.266 
   10   289     9   2.5  1.00  630  1.00  1.002   0.188  0.038  0.277 
   10   289    10   3.5  1.00  533  1.00  1.032   0.129  0.045  0.295 
   10   289    11   4.5  0.81  430  1.32  1.017   0.072  0.054  0.298 
   10   289    12   5.5  0.00  448  2.00  0.990   0.087  0.056  0.297 
