# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class FeO
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    12   5.5  0.95  210  1.60  1.138   0.584  0.105  0.341 
    7   197     1  -5.5  0.83  224  1.90  0.951  -0.087  0.108  0.346 
    7   197     2  -4.5  1.00  221  1.40  0.884  -0.026  0.112  0.362 
    7   197     3  -3.5  1.00  232  1.30  0.825   0.143  0.105  0.351 
    7   197     4  -2.5  1.00  215  1.30  0.826   0.256  0.116  0.356 
    7   197     5  -1.5  1.00  214  1.40  0.841   0.272  0.138  0.412 
    7   197     6  -0.5  1.00  225  1.40  0.808   0.238  0.134  0.417 
    7   197     7   0.5  1.00  204  1.30  0.812   0.016  0.142  0.412 
    7   197     8   1.5  1.00  202  1.20  0.835   0.283  0.139  0.411 
    7   197     9   2.5  1.00  226  1.20  0.834   0.481  0.118  0.373 
    7   197    10   3.5  1.00  236  1.10  0.861   0.596  0.110  0.341 
    7   197    11   4.5  1.00  216  1.00  0.904   0.563  0.113  0.364 
    7   197    12   5.5  1.00  221  1.50  0.927   0.579  0.111  0.367 
    8   228     1  -5.5  0.63  220  2.00  0.961  -0.088  0.118  0.328 
    8   228     2  -4.5  1.00  202  1.30  0.931   0.060  0.121  0.330 
    8   228     3  -3.5  1.00  211  1.20  0.882   0.067  0.128  0.331 
    8   228     4  -2.5  1.00  229  1.30  0.860   0.160  0.112  0.303 
    8   228     5  -1.5  1.00  203  1.20  0.853   0.115  0.114  0.309 
    8   228     6  -0.5  1.00  234  1.20  0.830   0.140  0.105  0.291 
    8   228     7   0.5  1.00  226  1.00  0.817   0.294  0.108  0.292 
    8   228     8   1.5  1.00  250  1.00  0.823   0.408  0.098  0.300 
    8   228     9   2.5  1.00  272  1.00  0.839   0.263  0.093  0.287 
    8   228    10   3.5  1.00  298  1.00  0.884   0.238  0.090  0.288 
    8   228    11   4.5  1.00  266  1.00  0.860   0.438  0.093  0.298 
    8   228    12   5.5  0.79  221  1.50  0.864   0.451  0.110  0.325 
    9   259     1  -5.5  0.46  211  1.90  1.148   0.070  0.110  0.306 
    9   259     2  -4.5  1.00  216  1.30  1.174   0.127  0.105  0.297 
    9   259     3  -3.5  1.00  206  1.10  1.100  -0.049  0.138  0.347 
    9   259     4  -2.5  1.00  220  1.10  1.049  -0.091  0.136  0.368 
    9   259     5  -1.5  1.00  233  1.00  1.002  -0.127  0.111  0.339 
    9   259     6  -0.5  1.00  257  1.00  0.965  -0.228  0.105  0.324 
    9   259     7   0.5  1.00  282  1.00  0.938  -0.250  0.097  0.318 
    9   259     8   1.5  1.00  311  1.00  0.947  -0.090  0.092  0.324 
    9   259     9   2.5  1.00  332  1.00  0.993  -0.125  0.105  0.388 
    9   259    10   3.5  1.00  335  1.00  1.029  -0.201  0.083  0.321 
    9   259    11   4.5  1.00  214  1.00  1.023  -0.177  0.098  0.291 
    9   259    12   5.5  0.33  213  1.70  0.956   0.082  0.114  0.313 
   10   289     1  -5.5  0.24  227  1.90  1.183  -0.046  0.071  0.286 
   10   289     2  -4.5  1.00  200  1.10  1.235  -0.086  0.075  0.299 
   10   289     3  -3.5  1.00  296  1.00  1.224  -0.050  0.060  0.310 
   10   289     4  -2.5  1.00  280  1.00  1.237   0.009  0.065  0.326 
   10   289     5  -1.5  1.00  291  1.00  1.148   0.019  0.059  0.314 
   10   289     6  -0.5  1.00  300  1.00  1.118  -0.075  0.056  0.306 
   10   289     7   0.5  1.00  305  1.00  1.124   0.051  0.055  0.304 
   10   289     8   1.5  1.00  295  1.00  1.131   0.172  0.061  0.326 
   10   289     9   2.5  1.00  275  1.00  1.164   0.167  0.075  0.372 
   10   289    10   3.5  1.00  226  1.00  1.181   0.029  0.082  0.367 
   10   289    11   4.5  0.81  208  1.40  1.113  -0.121  0.081  0.315 
   10   289    12   5.5  0.00  226  2.10  1.059  -0.048  0.088  0.301 
   11   320     1  -5.5  0.00  219  2.00  1.073  -0.101  0.080  0.309 
   11   320     2  -4.5  0.91  215  1.20  1.023  -0.078  0.079  0.324 
   11   320     3  -3.5  1.00  330  1.00  0.979  -0.048  0.067  0.341 
   11   320     4  -2.5  1.00  339  1.00  0.968   0.049  0.065  0.342 
   11   320     5  -1.5  1.00  331  1.00  0.961   0.058  0.057  0.327 
   11   320     6  -0.5  1.00  320  1.00  0.992  -0.021  0.054  0.333 
   11   320     7   0.5  1.00  284  1.00  1.003   0.088  0.059  0.326 
   11   320     8   1.5  1.00  275  1.00  0.937   0.226  0.065  0.324 
   11   320     9   2.5  1.00  276  1.00  0.897   0.183  0.069  0.340 
   11   320    10   3.5  1.00  208  1.10  0.929   0.073  0.087  0.338 
   11   320    11   4.5  0.40  201  1.70  0.957  -0.084  0.091  0.348 
   11   320    12   5.5  0.00  230  2.50  0.996  -0.201  0.086  0.341 
   12   350     1  -5.5  0.00  230  2.30  0.861  -0.014  0.084  0.344 
   12   350     2  -4.5  0.52  214  1.50  0.757   0.125  0.086  0.377 
   12   350     3  -3.5  1.00  240  1.00  0.681   0.261  0.076  0.391 
   12   350     4  -2.5  1.00  308  1.00  0.679   0.348  0.065  0.401 
   12   350     5  -1.5  1.00  294  1.00  0.726   0.367  0.069  0.403 
   12   350     6  -0.5  1.00  263  1.00  0.721   0.360  0.080  0.408 
   12   350     7   0.5  1.00  225  1.00  0.684   0.209  0.091  0.414 
   12   350     8   1.5  1.00  240  1.00  0.655   0.175  0.083  0.413 
   12   350     9   2.5  1.00  251  1.00  0.608   0.298  0.072  0.368 
   12   350    10   3.5  1.00  223  1.20  0.621   0.167  0.078  0.373 
   12   350    11   4.5  0.31  215  1.80  0.620   0.080  0.083  0.366 
   12   350    12   5.5  0.00  239  2.60  0.712   0.061  0.095  0.370 
