# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class Orc
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    6   167    12   5.5  0.95  430  1.60  0.111   0.941  0.172  0.789 
    7   197     1  -5.5  0.83  426  1.70  0.494   2.404  0.186  0.890 
    7   197     2  -4.5  1.00  424  1.20  0.419   2.711  0.192  0.836 
    7   197     3  -3.5  1.00  453  1.20  0.321   2.932  0.207  0.936 
    7   197     4  -2.5  1.00  434  1.20  0.249   2.786  0.220  0.975 
    7   197     5  -1.5  1.00  493  1.30  0.195   2.375  0.176  0.910 
    7   197     6  -0.5  1.00  416  1.20  0.142   2.137  0.187  1.100 
    7   197     7   0.5  1.00  445  1.20  0.116   2.099  0.167  1.091 
    7   197     8   1.5  1.00  451  1.20  0.103   1.998  0.158  0.864 
    7   197     9   2.5  1.00  418  1.10  0.094   1.745  0.167  0.770 
    7   197    10   3.5  1.00  402  1.00  0.085   1.178  0.153  0.659 
    7   197    11   4.5  1.00  433  1.00  0.086   0.699  0.181  0.806 
    7   197    12   5.5  1.00  454  1.50  0.088   0.703  0.132  0.592 
    8   228     1  -5.5  0.63  454  1.80  0.973   2.466  0.236  0.717 
    8   228     2  -4.5  1.00  448  1.20  0.835   2.590  0.222  0.741 
    8   228     3  -3.5  1.00  420  1.10  0.724   2.988  0.241  0.824 
    8   228     4  -2.5  1.00  461  1.20  0.684   3.494  0.212  0.789 
    8   228     5  -1.5  1.00  410  1.10  0.515   3.062  0.235  0.859 
    8   228     6  -0.5  1.00  468  1.10  0.460   2.952  0.281  1.145 
    8   228     7   0.5  1.00  471  1.00  0.315   2.551  0.339  1.401 
    8   228     8   1.5  1.00  495  1.00  0.214   2.530  0.229  1.121 
    8   228     9   2.5  1.00  543  1.00  0.160   2.232  0.193  0.943 
    8   228    10   3.5  1.00  591  1.00  0.116   1.631  0.181  0.972 
    8   228    11   4.5  1.00  531  1.00  0.095   1.255  0.208  1.004 
    8   228    12   5.5  0.79  441  1.50  0.093   1.103  0.228  1.003 
    9   259     1  -5.5  0.46  440  1.80  2.165   2.769  0.166  0.549 
    9   259     2  -4.5  1.00  435  1.20  2.288   2.740  0.155  0.538 
    9   259     3  -3.5  1.00  415  1.00  2.239   2.984  0.149  0.569 
    9   259     4  -2.5  1.00  436  1.00  1.755   3.253  0.149  0.613 
    9   259     5  -1.5  1.00  467  1.00  1.382   3.517  0.171  0.780 
    9   259     6  -0.5  1.00  532  1.00  1.086   3.646  0.182  0.856 
    9   259     7   0.5  1.00  603  1.00  0.721   3.446  0.176  0.871 
    9   259     8   1.5  1.00  631  1.00  0.570   3.510  0.217  1.063 
    9   259     9   2.5  1.00  648  1.00  0.345   3.202  0.250  1.249 
    9   259    10   3.5  1.00  639  1.00  0.176   2.114  0.182  1.074 
    9   259    11   4.5  1.00  417  1.00  0.122   1.529  0.197  0.947 
    9   259    12   5.5  0.33  420  1.70  0.108   1.482  0.211  0.944 
   10   289     1  -5.5  0.24  439  1.90  3.070   2.366  0.103  0.531 
   10   289     2  -4.5  1.00  407  1.20  3.372   2.095  0.096  0.532 
   10   289     3  -3.5  1.00  543  1.00  3.244   2.211  0.083  0.558 
   10   289     4  -2.5  1.00  555  1.00  2.511   2.493  0.090  0.618 
   10   289     5  -1.5  1.00  596  1.00  1.998   2.906  0.095  0.723 
   10   289     6  -0.5  1.00  623  1.00  1.662   3.168  0.124  0.954 
   10   289     7   0.5  1.00  622  1.00  1.464   3.456  0.141  1.086 
   10   289     8   1.5  1.00  600  1.00  1.156   3.267  0.149  1.024 
   10   289     9   2.5  1.00  579  1.00  0.627   2.985  0.182  1.127 
   10   289    10   3.5  1.00  471  1.00  0.290   2.578  0.211  1.326 
   10   289    11   4.5  0.81  434  1.40  0.199   2.275  0.200  1.023 
   10   289    12   5.5  0.00  459  2.10  0.160   2.365  0.239  1.150 
   11   320     1  -5.5  0.00  426  2.10  2.990   1.884  0.100  0.552 
   11   320     2  -4.5  0.91  411  1.30  2.921   1.865  0.104  0.583 
   11   320     3  -3.5  1.00  523  1.00  2.466   2.007  0.098  0.648 
   11   320     4  -2.5  1.00  589  1.00  1.940   2.396  0.091  0.666 
   11   320     5  -1.5  1.00  627  1.00  1.616   2.752  0.099  0.796 
   11   320     6  -0.5  1.00  617  1.00  1.381   3.015  0.128  1.052 
   11   320     7   0.5  1.00  562  1.00  1.278   3.286  0.157  1.188 
   11   320     8   1.5  1.00  542  1.00  1.019   3.121  0.166  1.134 
   11   320     9   2.5  1.00  512  1.00  0.538   2.793  0.157  1.138 
   11   320    10   3.5  1.00  446  1.20  0.374   2.592  0.184  1.241 
   11   320    11   4.5  0.40  459  1.80  0.311   2.655  0.194  1.233 
   11   320    12   5.5  0.00  456  2.50  0.258   2.682  0.209  1.213 
   12   350     1  -5.5  0.00  493  2.40  2.194   1.856  0.124  0.682 
   12   350     2  -4.5  0.52  431  1.60  1.716   2.002  0.135  0.745 
   12   350     3  -3.5  1.00  419  1.00  1.220   2.222  0.129  0.872 
   12   350     4  -2.5  1.00  541  1.00  1.026   2.464  0.121  0.921 
   12   350     5  -1.5  1.00  509  1.00  0.870   2.659  0.130  0.906 
   12   350     6  -0.5  1.00  462  1.00  0.733   2.900  0.134  0.996 
   12   350     7   0.5  1.00  414  1.00  0.640   2.843  0.150  1.117 
   12   350     8   1.5  1.00  411  1.00  0.473   2.464  0.152  1.106 
   12   350     9   2.5  1.00  424  1.00  0.353   2.579  0.173  1.219 
   12   350    10   3.5  1.00  447  1.30  0.319   2.710  0.179  1.206 
   12   350    11   4.5  0.31  481  1.90  0.286   2.861  0.180  1.222 
   12   350    12   5.5  0.00  439  2.60  0.271   2.810  0.196  1.242 
