# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of FeOf06a (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+24)
# 
    bin   fbin  N  year  DOY     LT        MJD   S27d          I 
  15418  0.967  1  2009  321  22.16  55153.119   72.2  2.693e+01 
  15419  0.967  1  2009  321  22.69  55153.141   72.2  2.694e+01 
  15420  0.967  1  2009  321  23.19  55153.162   72.2  2.344e+01 
  15421  0.967  1  2009  321  23.81  55153.188   72.2  2.241e+01 
  15422  0.967  1  2009  322   0.32  55153.209   72.2  2.447e+01 
  15423  0.967  1  2009  322   0.83  55153.230   72.2  1.968e+01 
  15424  0.967  1  2009  322   1.33  55153.251   72.2  1.835e+01 
  15425  0.967  1  2009  322   1.99  55153.278   72.2  2.120e+01 
  15426  0.967  1  2009  322   2.50  55153.300   72.2  2.014e+01 
  15428  0.967  1  2009  322   3.16  55153.327   72.2  2.248e+01 
  15429  0.967  1  2009  322   3.67  55153.348   72.2  2.080e+01 
  15461  0.967  1  2009  322  19.92  55154.026   72.2  2.340e+01 
  15462  0.967  1  2009  322  20.43  55154.047   72.2  2.271e+01 
  15463  0.967  1  2009  322  20.94  55154.068   72.2  2.088e+01 
  15464  0.967  1  2009  322  21.44  55154.089   72.2  2.291e+01 
  15466  0.967  1  2009  322  22.09  55154.116   72.2  2.398e+01 
  15467  0.967  1  2009  322  22.59  55154.137   72.2  2.148e+01 
  15468  0.967  1  2009  322  23.22  55154.163   72.2  1.955e+01 
  15469  0.967  1  2009  322  23.72  55154.184   72.2  2.060e+01 
  15471  0.967  1  2009  323   0.56  55154.219   72.2  2.133e+01 
  15472  0.967  1  2009  323   1.07  55154.240   72.2  2.216e+01 
  15473  0.967  1  2009  323   1.76  55154.269   72.2  2.093e+01 
  15475  0.967  1  2009  323   2.88  55154.315   72.2  2.149e+01 
  15476  0.967  1  2009  323   3.38  55154.337   72.2  2.099e+01 
  15511  1.395  2  2009  323  20.79  55155.062   72.2  1.202e+01 
  15512  0.697  1  2009  323  21.35  55155.085   72.2  1.173e+01 
  15513  0.697  1  2009  323  21.71  55155.100   72.2  1.214e+01 
  15514  0.520  1  2009  323  22.24  55155.122   72.2  1.035e+01 
  15515  1.039  2  2009  323  22.66  55155.140   72.2  1.163e+01 
  15516  0.520  1  2009  323  23.07  55155.157   72.2  1.111e+01 
  15519  1.000  1  2009  324   0.69  55155.225   72.2  8.971e+00 
  15520  1.000  1  2009  324   1.22  55155.246   72.2  1.009e+01 
  15521  1.000  1  2009  324   1.75  55155.268   72.2  1.150e+01 
  15522  1.000  1  2009  324   2.27  55155.290   72.2  1.269e+01 
  15558  0.697  1  2009  324  20.25  55156.039   72.2  1.531e+01 
