   Source_name        RA        Dec RegType  Major  Minor Theta Color reg_qual expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6695 60232   900.0 79.444082 -69.005001 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006695.fits          6695     592.76           52          954
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6696 60232   900.0 79.436342 -69.007689 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006696.fits          6696     600.82           52          955
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6697 60232   900.0  79.45373 -69.007939 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006697.fits          6697     578.58           52          956
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6698 60232   900.0 79.439879 -69.011959 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006698.fits          6698     593.85           52          957
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6699 60232   900.0 79.456572 -69.012236 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006699.fits          6699     572.42           52          958
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6700 60232   900.0 79.449987 -69.014576 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006700.fits          6700     579.61           52          959
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6701 60232   900.0 72.407159 -68.866231 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006701.fits          6701     700.84            4          960
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6702 60232   900.0 72.397972 -68.867559 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006702.fits          6702     695.83            4          961
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6703 60232   900.0 72.416007 -68.866855 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006703.fits          6703     699.02            4          962
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6704 60232   900.0 72.400875  -68.87046 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006704.fits          6704     685.44            4          963
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6708 60232   900.0 72.422229 -68.872034 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006708.fits          6708     680.81            4          967
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6709 60232   900.0  72.41671 -68.871318 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006709.fits          6709     683.01            4          968
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7371 60256   900.0 74.231864 -68.561121 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007371.fits          7371     470.33           15         1031
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7371 60256   900.0 74.231864 -68.561121 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007371.fits          7371     528.63           16         1031
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7371 60256   900.0 74.231864 -68.561121 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007371.fits          7371     631.55           19         1031
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7372 60256   900.0 74.243017 -68.567436 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007372.fits          7372     492.91           15         1032
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7372 60256   900.0 74.243017 -68.567436 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007372.fits          7372     527.99           16         1032
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7372 60256   900.0 74.243017 -68.567436 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007372.fits          7372     649.20           19         1032
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7373 60256   900.0 74.230165 -68.566424 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007373.fits          7373     476.03           15         1033
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7373 60256   900.0 74.230165 -68.566424 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007373.fits          7373     515.88           16         1033
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7373 60256   900.0 74.230165 -68.566424 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007373.fits          7373     650.44           19         1033
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7374 60256   900.0 74.244258 -68.558239 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007374.fits          7374     481.60           15         1034
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7374 60256   900.0 74.244258 -68.558239 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007374.fits          7374     547.93           16         1034
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7374 60256   900.0 74.244258 -68.558239 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007374.fits          7374     616.91           19         1034
