# Static moonlight base spectrum for SkySepPalace.py MOON template.
# WAVE: Angstroms. SOLAR: vendored solar reference spectrum
# (data/palace_ref/Spectre_HR_LATMOS_Meftah...), interpolated onto
# this grid, normalised to unit median. MOON_BASE: the real ESO
# Sky Model MOON column (Rayleigh/aerosol-scattered, ROLO-albedo-
# reddened moonlight) for one fixed reference geometry, normalised
# to unit median -- see MakeMoonBase.py module docstring for why
# this is not simply SOLAR x lunar albedo.
# Reference geometry: ra=296.242608 dec=-14.811007 obstime=2023-08-29T03:20:43.668
# Generated by MakeMoonBase.py
  3600.000   6.524552e-01   2.679563e+00
  3600.500   8.348095e-01   2.759118e+00
  3601.000   8.890575e-01   2.719206e+00
  3601.500   1.075903e+00   2.437135e+00
  3602.000   1.047881e+00   1.959744e+00
  3602.500   9.632448e-01   1.752819e+00
  3603.000   6.300394e-01   1.823184e+00
  3603.500   4.459993e-01   1.806346e+00
  3604.000   8.122827e-01   1.863440e+00
  3604.500   7.185582e-01   1.903939e+00
  3605.000   6.770194e-01   1.639115e+00
  3605.500   7.507844e-01   1.525141e+00
  3606.000   6.643889e-01   1.774116e+00
  3606.500   2.720997e-01   1.897273e+00
  3607.000   7.458607e-01   2.078523e+00
  3607.500   5.804430e-01   2.117338e+00
  3608.000   8.399770e-01   1.703189e+00
  3608.500   8.245326e-01   1.188755e+00
  3609.000   6.244847e-01   1.052173e+00
  3609.500   3.960972e-01   1.317728e+00
  3610.000   2.192310e-01   1.429035e+00
  3610.500   5.033156e-01   1.496894e+00
  3611.000   6.297550e-01   1.871364e+00
  3611.500   3.211287e-01   2.167714e+00
  3612.000   7.473977e-01   2.224800e+00
  3612.500   8.636756e-01   2.061871e+00
  3613.000   7.380344e-01   1.774772e+00
  3613.500   9.345755e-01   1.638464e+00
  3614.000   5.339789e-01   1.752113e+00
  3614.500   6.236567e-01   1.985389e+00
  3615.000   5.176377e-01   2.210247e+00
  3615.500   7.924813e-01   2.356897e+00
  3616.000   8.317337e-01   2.270787e+00
  3616.500   9.491757e-01   2.189482e+00
  3617.000   8.571510e-01   2.080691e+00
  3617.500   7.318001e-01   1.743654e+00
  3618.000   8.761432e-01   1.312798e+00
  3618.500   6.504575e-01   9.051421e-01
  3619.000   5.087284e-01   7.638582e-01
  3619.500   2.542838e-01   1.017204e+00
  3620.000   2.237992e-01   1.480128e+00
  3620.500   2.506573e-01   1.780819e+00
  3621.000   5.841348e-01   1.735456e+00
  3621.500   6.918450e-01   1.693598e+00
  3622.000   6.322028e-01   2.007691e+00
  3622.500   4.814109e-01   2.384992e+00
  3623.000   6.146139e-01   2.315124e+00
  3623.500   1.022954e+00   1.975215e+00
  3624.000   9.377008e-01   1.826565e+00
  3624.500   6.875564e-01   1.892625e+00
  3625.000   5.301733e-01   2.074974e+00
  3625.500   8.945238e-01   2.444489e+00
  3626.000   5.506101e-01   2.707830e+00
  3626.500   9.589478e-01   2.771665e+00
  3627.000   1.006076e+00   2.706397e+00
  3627.500   1.109444e+00   2.568698e+00
  3628.000   9.536777e-01   2.487002e+00
  3628.500   1.017016e+00   2.523196e+00
  3629.000   8.235484e-01   2.599487e+00
  3629.500   1.009540e+00   2.536092e+00
  3630.000   9.281358e-01   2.146483e+00
  3630.500   1.052580e+00   1.580424e+00
  3631.000   7.897406e-01   1.044239e+00
  3631.500   6.358202e-01   8.785676e-01
  3632.000   3.290381e-01   1.203304e+00
  3632.500   1.611832e-01   1.624160e+00
  3633.000   3.586963e-01   1.853470e+00
  3633.500   7.175251e-01   1.978112e+00
  3634.000   5.020339e-01   1.803277e+00
  3634.500   8.873211e-01   1.544016e+00
  3635.000   7.288796e-01   1.623199e+00
  3635.500   4.225648e-01   1.986361e+00
  3636.000   5.086621e-01   2.127960e+00
  3636.500   6.848812e-01   1.941398e+00
  3637.000   9.944561e-01   1.976772e+00
  3637.500   5.825983e-01   2.086352e+00
  3638.000   6.923029e-01   2.049177e+00
  3638.500   9.862239e-01   2.285705e+00
  3639.000   5.665632e-01   2.494150e+00
  3639.500   8.733080e-01   2.454151e+00
  3640.000   1.004248e+00   2.467238e+00
  3640.500   7.693699e-01   2.505040e+00
  3641.000   9.862234e-01   2.437075e+00
  3641.500   7.599962e-01   2.302549e+00
  3642.000   1.021923e+00   2.318794e+00
  3642.500   6.841736e-01   2.190340e+00
  3643.000   8.963572e-01   2.030243e+00
  3643.500   9.041848e-01   2.049030e+00
  3644.000   6.474524e-01   2.038135e+00
  3644.500   8.915404e-01   1.824312e+00
  3645.000   8.525495e-01   1.624812e+00
  3645.500   6.105171e-01   1.760376e+00
  3646.000   5.510215e-01   2.056911e+00
  3646.500   5.322866e-01   2.118585e+00
  3647.000   7.530674e-01   1.795889e+00
  3647.500   8.935334e-01   1.318572e+00
  3648.000   6.988823e-01   1.258405e+00
  3648.500   4.130110e-01   1.675012e+00
  3649.000   2.302809e-01   1.852832e+00
  3649.500   7.272864e-01   1.734627e+00
  3650.000   7.980034e-01   1.790309e+00
  3650.500   4.640878e-01   2.048840e+00
  3651.000   5.922137e-01   2.081107e+00
  3651.500   7.296859e-01   1.927220e+00
  3652.000   9.035910e-01   2.179318e+00
  3652.500   5.514197e-01   2.596688e+00
  3653.000   7.339888e-01   2.655396e+00
  3653.500   9.508812e-01   2.412652e+00
  3654.000   1.145762e+00   2.370516e+00
  3654.500   7.232318e-01   2.447853e+00
  3655.000   7.748021e-01   2.351781e+00
  3655.500   9.026344e-01   2.238835e+00
  3656.000   9.563426e-01   2.363606e+00
  3656.500   6.114611e-01   2.578684e+00
  3657.000   1.010844e+00   2.618459e+00
  3657.500   9.446131e-01   2.440353e+00
  3658.000   9.822931e-01   2.405503e+00
  3658.500   9.795710e-01   2.713998e+00
  3659.000   5.816894e-01   2.853519e+00
  3659.500   1.053838e+00   2.623160e+00
  3660.000   1.203877e+00   2.464007e+00
  3660.500   8.579120e-01   2.497415e+00
  3661.000   9.882543e-01   2.640567e+00
  3661.500   8.281818e-01   2.681724e+00
  3662.000   1.033511e+00   2.533670e+00
  3662.500   1.020564e+00   2.430190e+00
  3663.000   8.518460e-01   2.338246e+00
  3663.500   1.010319e+00   2.219669e+00
  3664.000   9.003484e-01   2.119855e+00
  3664.500   7.200171e-01   2.142525e+00
  3665.000   7.246337e-01   2.457959e+00
  3665.500   7.478188e-01   2.668813e+00
  3666.000   8.762348e-01   2.413095e+00
  3666.500   1.169096e+00   2.138519e+00
  3667.000   8.720670e-01   2.227535e+00
  3667.500   7.552728e-01   2.478761e+00
  3668.000   7.168418e-01   2.477572e+00
  3668.500   1.046423e+00   2.301498e+00
  3669.000   8.370421e-01   2.026465e+00
  3669.500   9.247976e-01   1.891979e+00
  3670.000   7.201750e-01   1.963904e+00
  3670.500   5.625171e-01   2.082704e+00
  3671.000   7.743457e-01   2.363915e+00
  3671.500   6.482024e-01   2.630035e+00
  3672.000   9.340427e-01   2.776898e+00
  3672.500   9.406756e-01   2.723805e+00
  3673.000   1.097795e+00   2.535537e+00
  3673.500   1.056894e+00   2.384671e+00
  3674.000   8.995359e-01   2.253645e+00
  3674.500   9.788218e-01   2.359217e+00
  3675.000   6.793177e-01   2.605845e+00
  3675.500   9.143961e-01   2.694387e+00
  3676.000   1.024952e+00   2.589271e+00
  3676.500   1.001361e+00   2.385789e+00
  3677.000   1.057498e+00   2.115242e+00
  3677.500   7.925110e-01   1.800941e+00
  3678.000   9.040290e-01   1.929241e+00
  3678.500   4.564963e-01   2.273214e+00
  3679.000   6.059530e-01   2.222759e+00
