Wave_air  LineID Component    Ampl
 8548.43  OH_6-2        OH  5.4495
 8555.15  OH_6-2        OH  3.7586
 8555.41 OH_10-5        OH   4.256
 8566.02 OH_10-5        OH  3.9613
 8572.13  OH_5-1        OH  1.1777
 8575.76  OH_5-1        OH  1.0599
 8580.25  OH_5-1        OH  0.0421
 8588.03  OH_6-2        OH  2.1527
 8596.69  OH_6-2        OH  2.0953
 8601.63  OH_6-2        OH   0.986
 8602.77  OH_6-2        OH  1.2495
  8615.7 OH_10-5        OH    7.09
 8625.45 OH_10-5        OH 11.1806
 8641.18  OH_9-4        OH  6.6169
 8641.84  OH_6-2        OH  6.5103
 8641.85  OH_4-0        OH  6.5017
 8643.85  OH_4-0        OH  2.8023
 8645.77  OH_9-4        OH  5.0008
 8649.49  OH_6-2        OH   9.526
 8649.56  OH_4-0        OH  9.5511
 8649.99  OH_4-0        OH  9.6073
 8652.25  OH_5-1        OH  4.7767
 8653.82  OH_7-2        OH  8.4634
 8655.61  OH_5-1        OH 11.9671
 8658.89  OH_6-2        OH 10.6307
 8660.02  OH_6-2        OH 12.6949
 8660.62      O2        O2 11.9962
 8682.26 OH_10-5        OH  7.5638
 8691.23 OH_10-5        OH  4.9672
 8700.11  OH_6-2        OH  2.9454
 8706.94  OH_6-2        OH  2.3825
 8721.59  OH_6-2        OH  0.6619
 8722.71  OH_6-2        OH   0.955
 8737.47  OH_5-1        OH  1.2334
 8740.59  OH_5-1        OH  1.3928
 8745.08  OH_4-0        OH  0.3567
 8746.96  OH_4-0        OH  0.5713
  8749.3  OH_9-4        OH  3.7659
 8753.67  OH_9-4        OH  4.1618
 8755.33 OH_10-5        OH  6.2591
  8763.0  OH_6-2        OH  6.4368
 8763.63 OH_10-5        OH   7.327
 8764.43  OH_4-0        OH  6.3814
 8764.82  OH_4-0        OH  6.3893
 8769.14  OH_6-2        OH  2.7939
 8827.99  OH_5-1        OH  1.9438
 8830.68  OH_6-2        OH  4.8201
  8830.9  OH_5-1        OH  5.0214
 8835.24 OH_10-5        OH  8.5254
 8836.24  OH_6-2        OH  8.5324
 8842.97 OH_10-5        OH  4.4719
 8854.16  OH_4-0        OH  0.3564
 8855.94  OH_4-0        OH  0.4832
  8865.7  OH_9-4        OH  4.5586
 8867.64  OH_7-3        OH  4.6537
 8869.88  OH_9-4        OH  4.3472
  8885.8  OH_7-3        OH  1.0236
  8887.4  OH_4-0        OH  0.1809
 8887.77  OH_4-0        OH   0.149
 8895.19  OH_7-3        OH  3.4055
 8896.56  OH_7-3        OH  3.6398
 8903.09  OH_7-3        OH  4.0854
 8903.32  OH_6-2        OH  4.3975
 8908.39  OH_6-2        OH  2.5307
 8919.53  OH_7-3        OH  1.9097
 8922.39 OH_10-5        OH  5.8364
 8924.06  OH_5-1        OH  4.6244
 8926.79  OH_5-1        OH  2.2483
 8929.61 OH_10-5        OH  5.9927
 8933.95  OH_7-3        OH  3.2941
 8935.36  OH_7-3        OH  3.3673
 8943.39  OH_7-3        OH  2.2892
 8946.22  OH_6-2        OH  0.5439
 8958.24  OH_7-3        OH  2.5531
 8969.41  OH_4-0        OH  0.3908
  8971.1  OH_4-0        OH  0.4665
 8978.01  OH_7-3        OH  3.0715
 8979.44  OH_7-3        OH   3.345
 8981.09  OH_6-2        OH  4.4037
 8985.76  OH_6-2        OH  2.6266
 8988.31  OH_7-3        OH  4.5926
 9001.12  OH_7-3        OH   3.229
 9019.14  OH_4-0        OH  0.0794
 9019.47  OH_4-0        OH  0.0959
 9023.97 OH_10-5        OH  5.2002
 9025.94  OH_5-1        OH  6.1473
 9027.54  OH_7-3        OH  5.4133
 9028.51  OH_5-1        OH  6.2038
  9029.0  OH_7-3        OH  4.9918
 9032.52  OH_6-2        OH  1.1139
 9033.61  OH_6-2        OH  0.3958
 9037.95  OH_7-3        OH    3.85
 9043.47  OH_7-3        OH  0.0391
 9049.24  OH_7-3        OH  3.7207
 9064.23  OH_6-2        OH  2.9859
 9068.54  OH_6-2        OH  2.8625
 9082.79  OH_7-3        OH  2.2755
 9084.25  OH_7-3        OH  2.7589
 9091.15  OH_4-0        OH  1.2541
 9092.39  OH_7-3        OH  4.8841
 9092.75  OH_4-0        OH  4.7378
 9102.38  OH_7-3        OH  4.1677
 9123.75  OH_4-0        OH  0.0156
 9126.54  OH_4-0        OH  0.1188
 9126.97  OH_6-2        OH  0.1444
 9133.93  OH_5-1        OH  1.4681
 9136.36  OH_5-1        OH  2.8898
 9141.15  OH_7-3        OH  0.3964
 9143.97  OH_7-3        OH  1.9451
 9145.43  OH_7-3        OH  2.6759
 9151.78  OH_7-3        OH  5.7576
 9152.96  OH_6-2        OH  5.5235
 9156.96  OH_6-2        OH  3.0771
 9160.69  OH_7-3        OH  4.9847
 9211.39  OH_7-3        OH  1.6143
 9212.84  OH_7-3        OH  2.5026
 9216.26  OH_7-3        OH  5.6268
 9219.78  OH_4-0        OH  0.4588
  9221.3  OH_4-0        OH  0.4652
 9224.26  OH_7-3        OH  4.8588
 9247.52  OH_6-2        OH  4.0007
 9248.35  OH_5-1        OH  4.2969
 9250.65  OH_5-1        OH  5.5614
 9251.26  OH_6-2        OH  5.8672
  9260.4  OH_4-0        OH  2.3604
 9285.35  OH_7-3        OH  4.2857
 9286.03  OH_7-3        OH  7.7222
 9286.79  OH_7-3        OH  7.9731
 9293.26  OH_7-3        OH  4.6875
  9294.2  OH_3-0        OH  5.1653
 9306.55  OH_3-0        OH    5.45
 9309.39  OH_8-4        OH  9.5518
 9310.82  OH_8-4        OH  5.6103
 9317.67  OH_8-4        OH 10.2651
 9317.87  OH_8-4        OH 10.5299
 9323.43  OH_3-0        OH  2.4831
 9330.48  OH_8-4        OH  9.9885
 9331.01  OH_8-4        OH 10.7288
 9344.96  OH_3-0        OH  0.0111
 9348.19  OH_6-2        OH  9.2229
 9348.58  OH_8-4        OH 11.1006
 9349.53  OH_8-4        OH 11.2775
  9351.7  OH_6-2        OH  4.0466
 9355.69  OH_4-0        OH  1.8207
 9357.13  OH_4-0        OH  0.5019
 9361.28  OH_7-3        OH  6.0606
 9367.86  OH_7-3        OH   6.941
 9369.55  OH_5-1        OH  7.1692
 9371.21  OH_3-0        OH  5.3557
 9371.73  OH_5-1        OH  8.0538
  9372.1  OH_8-4        OH  9.6318
 9373.39  OH_8-4        OH  9.1228
 9399.64  OH_4-0        OH  0.6266
  9401.2  OH_8-4        OH  7.1541
 9402.11  OH_8-4        OH  7.6995
 9402.31  OH_3-0        OH  7.6835
 9402.72  OH_8-4        OH  7.5258
 9402.83  OH_4-0        OH  7.4547
 9419.68  OH_8-4        OH  1.5121
 9436.03  OH_8-4        OH  6.5482
  9437.7  OH_8-4        OH   6.191
 9438.39  OH_3-0        OH  6.0562
  9439.6  OH_8-4        OH  3.0276
 9442.24  OH_7-3        OH  6.0934
 9448.28  OH_7-3        OH  5.5172
