name, ra, dec, i_ha, g_sb, irdc_flag, darkest_wham_flag
grid001 ,  0.6128809295393534 ,  -34.39606465789569 , 0.19805467 , 24.535823386977988 , False ,  False
grid002 ,  2.0173542945760805 ,  -1.992013667613692 , 0.20430438 , 23.30202392942794 , False ,  False
grid003 ,  2.0616410493379766 ,  -34.65168888274344 , 0.15876262 , 26.419426721404868 , False ,  True
grid004 ,  2.35397660706006 ,  -74.37309739962373 , 0.7597378 , 23.275483173202353 , False ,  False
grid005 ,  3.223923952197792 ,  1.1273851201657448 , 0.22492507 , 26.539983075927573 , False ,  False
grid006 ,  5.513363489697585 ,  -16.328698928027645 , 0.21992186 , 26.622990888427573 , False ,  False
grid007 ,  6.342119239606079 ,  -39.62321447876605 , 0.24003041 , 23.714616817306357 , False ,  False
grid008 ,  6.659257710963646 ,  25.19146830941656 , 0.49448037 , 23.66245202429183 , False ,  False
grid009 ,  7.281015578644021 ,  45.72511292130038 , 1.6137321 , 19.33706097013839 , False ,  False
grid010 ,  7.337020751922163 ,  16.71549309344006 , 0.5359208 , 23.766874593566733 , False ,  False
grid011 ,  7.546108448326952 ,  9.036561726091332 , 0.41712946 , 24.482824128936606 , False ,  False
grid012 ,  8.550133274473783 ,  46.63852738919826 , 2.1156456 , 22.50327519781478 , False ,  False
grid013 ,  9.099405629918449 ,  3.2455050524001896 , 0.19930969 , 23.24489526159652 , False ,  False
grid014 ,  9.202628314100007 ,  36.468622852329304 , 1.5331075 , 24.13117341406234 , False ,  False
grid015 ,  11.279546013307323 ,  26.36054347865938 , 0.7292249 , 24.224037450622397 , False ,  False
grid016 ,  11.711037813278764 ,  44.194067662636115 , 1.7571206 , 23.08531455404647 , False ,  False
grid017 ,  12.060701299217373 ,  -69.5950184000023 , 0.2570017 , 22.890209478210288 , False ,  False
grid018 ,  12.321596323537705 ,  -23.73261151176519 , 0.18346448 , 26.719807905029135 , False ,  False
grid019 ,  12.537706474658028 ,  0.06952028042321463 , 0.17799671 , 27.11516074545272 , False ,  False
grid020 ,  12.85117026691859 ,  -21.147466042421897 , 0.1879927 , 26.606061977218467 , False ,  False
grid021 ,  13.05830974948033 ,  50.14210009098246 , 4.04897 , 22.508328479598838 , False ,  False
grid022 ,  14.420170507644317 ,  31.45277319692432 , 1.0736815 , 23.048512262176352 , False ,  False
grid023 ,  14.718421771385417 ,  6.814292849990545 , 0.28162804 , 23.019127172302085 , False ,  False
grid024 ,  15.236370621540727 ,  -19.762730189567847 , 0.22760315 , 26.151806634734946 , False ,  False
