# NOTE: [SIII] wavelengths here (6312.06, 9069.00, 9531.10 air) are as returned
# by the DAP and are NOT the currently accepted values -- they do not match
# those used in Mappings or Cloudy. Do not treat them as authoritative without
# checking against current atomic data.
Arm  Ion          LineID       Wave_air   Wave_vac   DAP_name            
B    [OIII]       [OIII]       4958.91    4960.29    [OIII]_4958.91      
B    [FeVI]       [FeVI]       4972.50    4973.89    [FeVI]_4972.5       
B    [FeII]       [FeII]       4973.39    4974.78    [FeII]_4973.39      
B    [FeIII]      [FeIII]      4985.90    4987.29    [FeIII]_4985.9      
B    [OIII]       [OIII]       5006.84    5008.24    [OIII]_5006.84      
B    HeI          HeI          5015.68    5017.08    HeI_5015.68         
B    [FeII]       [FeII]       5039.10    5040.51    [FeII]_5039.1       
B    [FeII]       [FeII]       5072.40    5073.81    [FeII]_5072.4       
B    [FeII]       [FeII]       5107.95    5109.37    [FeII]_5107.95      
B    [FeII]       [FeII]       5111.63    5113.05    [FeII]_5111.63      
B    [FeVI]       [FeVI]       5145.80    5147.23    [FeVI]_5145.8       
B    [FeII]       [FeII]       5158.00    5159.44    [FeII]_5158.0       
B    [FeVII]      [FeVII]      5158.90    5160.34    [FeVII]_5158.9      
B    [FeVI]       [FeVI]       5176.00    5177.44    [FeVI]_5176.0       
B    [FeII]       [FeII]       5184.80    5186.24    [FeII]_5184.8       
B    [ArIII]      [ArIII]      5191.82    5193.27    [ArIII]_5191.82     
B    [NI]         [NI]         5197.90    5199.35    [NI]_5197.9         
B    [NI]         [NI]         5200.26    5201.71    [NI]_5200.26        
B    [FeII]       [FeII]       5220.06    5221.51    [FeII]_5220.06      
B    [FeII]       [FeII]       5261.61    5263.07    [FeII]_5261.61      
B    [FeII]       [FeII]       5268.88    5270.35    [FeII]_5268.88      
B    [FeIII]      [FeIII]      5270.30    5271.77    [FeIII]_5270.3      
B    [FeII]       [FeII]       5273.38    5274.85    [FeII]_5273.38      
B    [FeVI]       [FeVI]       5277.80    5279.27    [FeVI]_5277.8       
B    [FeII]       [FeII]       5296.84    5298.31    [FeII]_5296.84      
B    [FeXIV]      [FeXIV]      5302.86    5304.34    [FeXIV]_5302.86     
B    [CaV]        [CaV]        5309.18    5310.66    [CaV]_5309.18       
B    [FeII]       [FeII]       5333.65    5335.13    [FeII]_5333.65      
B    [FeVI]       [FeVI]       5335.20    5336.68    [FeVI]_5335.2       
B    [FeII]       [FeII]       5376.47    5377.97    [FeII]_5376.47      
B    HeII         HeII         5411.52    5413.02    HeII_5411.52        
B    [FeII]       [FeII]       5412.64    5414.14    [FeII]_5412.64      
B    [FeVI]       [FeVI]       5424.20    5425.71    [FeVI]_5424.2       
B    [FeVI]       [FeVI]       5426.60    5428.11    [FeVI]_5426.6       
B    [FeVI]       [FeVI]       5484.80    5486.32    [FeVI]_5484.8       
B    [ClIII]      [ClIII]      5517.71    5519.24    [ClIII]_5517.71     
B    [FeII]       [FeII]       5527.33    5528.87    [FeII]_5527.33      
B    [OI]         [OI]         5577.34    5578.89    [OI]_5577.34        
B    [FeVI]       [FeVI]       5631.10    5632.66    [FeVI]_5631.1       
B    [FeVI]       [FeVI]       5677.00    5678.58    [FeVI]_5677.0       
B    [FeVII]      [FeVII]      5720.70    5722.29    [FeVII]_5720.7      
B    [NII]        [NII]        5754.59    5756.19    [NII]_5754.59       
R    HeI          HeI          5876.00    5877.63    HeI_5876.0          
R    NaI          NaI          5889.95    5891.58    NaI_5889.95         
R    NaI          NaI          5895.92    5897.55    NaI_5895.92         
R    [FeVII]      [FeVII]      6087.00    6088.69    [FeVII]_6087.0      
R    [OI]         [OI]         6300.30    6302.04    [OI]_6300.3         
R    [SIII]       [SIII]       6312.06    6313.81    [SIII]_6312.06      
R    [OI]         [OI]         6363.78    6365.54    [OI]_6363.78        
R    [FeX]        [FeX]        6374.51    6376.27    [FeX]_6374.51       
R    [ArV]        [ArV]        6435.10    6436.88    [ArV]_6435.1        
R    [NII]        [NII]        6548.05    6549.86    [NII]_6548.05       
R    Halpha       Halpha       6562.85    6564.66    Halpha_6562.85      
R    [NII]        [NII]        6583.45    6585.27    [NII]_6583.45       
R    HeI          HeI          6678.15    6679.99    HeI_6678.15         
R    [SII]        [SII]        6716.44    6718.29    [SII]_6716.44       
R    [SII]        [SII]        6730.82    6732.68    [SII]_6730.82       
R    FeI          FeI          6855.18    6857.07    FeI_6855.18         
R    [ArV]        [ArV]        7005.67    7007.60    [ArV]_7005.67       
R    HeI          HeI          7065.19    7067.14    HeI_7065.19         
R    [ArIII]      [ArIII]      7135.80    7137.77    [ArIII]_7135.8      
R    [FeII]       [FeII]       7155.14    7157.11    [FeII]_7155.14      
R    [FeII]       [FeII]       7171.98    7173.96    [FeII]_7171.98      
R    CII          CII          7236.00    7237.99    CII_7236.0          
R    HeI          HeI          7281.35    7283.36    HeI_7281.35         
R    [FeI]        [FeI]        7290.42    7292.43    [FeI]_7290.42       
R    [CaII]       [CaII]       7291.46    7293.47    [CaII]_7291.46      
R    [OII]        [OII]        7318.92    7320.94    [OII]_7318.92       
R    [CaII]       [CaII]       7323.88    7325.90    [CaII]_7323.88      
R    [OII]        [OII]        7329.66    7331.68    [OII]_7329.66       
R    [NiII]       [NiII]       7377.83    7379.86    [NiII]_7377.83      
R    [FeII]       [FeII]       7388.16    7390.20    [FeII]_7388.16      
R    [NiII]       [NiII]       7411.61    7413.65    [NiII]_7411.61      
R    [FeII]       [FeII]       7452.50    7454.55    [FeII]_7452.5       
I    [FeII]       [FeII]       7637.52    7639.62    [FeII]_7637.52      
I    [FeII]       [FeII]       7686.19    7688.31    [FeII]_7686.19      
I    [FeII]       [FeII]       7686.90    7689.02    [FeII]_7686.9       
I    [ArIII]      [ArIII]      7751.06    7753.19    [ArIII]_7751.06     
I    OI           OI           7774.00    7776.14    OI_7774.0           
I    [FeXI]       [FeXI]       7891.80    7893.97    [FeXI]_7891.8       
I    [CrII]       [CrII]       7999.85    8002.05    [CrII]_7999.85      
I    [CrII]       [CrII]       8125.22    8127.45    [CrII]_8125.22      
I    [CrII]       [CrII]       8229.55    8231.81    [CrII]_8229.55      
I    HeII         HeII         8236.77    8239.03    HeII_8236.77        
I    HI           HI           8239.24    8241.51    HI_8239.24          
I    HI           HI           8240.82    8243.09    HI_8240.82          
I    HI           HI           8242.51    8244.78    HI_8242.51          
I    HI           HI           8244.32    8246.59    HI_8244.32          
I    HI           HI           8246.27    8248.54    HI_8246.27          
I    HI           HI           8248.35    8250.62    HI_8248.35          
I    HI           HI           8250.60    8252.87    HI_8250.6           
I    HI           HI           8253.03    8255.30    HI_8253.03          
I    HI           HI           8255.65    8257.92    HI_8255.65          
I    HI           HI           8258.49    8260.76    HI_8258.49          
I    HI           HI           8261.57    8263.84    HI_8261.57          
I    HI           HI           8264.92    8267.19    HI_8264.92          
I    HI           HI           8268.57    8270.84    HI_8268.57          
I    HI           HI           8272.56    8274.83    HI_8272.56          
I    HI           HI           8276.94    8279.22    HI_8276.94          
I    HI           HI           8281.75    8284.03    HI_8281.75          
I    HI           HI           8287.06    8289.34    HI_8287.06          
I    HI           HI           8292.94    8295.22    HI_8292.94          
I    HI           HI           8299.47    8301.75    HI_8299.47          
I    [NiII]       [NiII]       8300.99    8303.27    [NiII]_8300.99      
I    HI           HI           8306.75    8309.03    HI_8306.75          
I    [CrII]       [CrII]       8308.39    8310.67    [CrII]_8308.39      
I    HI           HI           8314.89    8317.18    HI_8314.89          
I    HI           HI           8324.06    8326.35    HI_8324.06          
I    HI           HI           8334.42    8336.71    HI_8334.42          
I    HI           HI           8345.55    8347.84    HI_8345.55          
I    [CrII]       [CrII]       8357.51    8359.81    [CrII]_8357.51      
I    HI           HI           8359.00    8361.30    HI_8359.0           
I    HI           HI           8374.48    8376.78    HI_8374.48          
I    HI           HI           8392.40    8394.71    HI_8392.4           
I    OI           OI           8446.00    8448.32    OI_8446.0           
I    HI           HI           8467.25    8469.58    HI_8467.25          
I    CaII         CaII         8498.02    8500.35    CaII_8498.02        
I    HI           HI           8502.48    8504.82    HI_8502.48          
I    CaII         CaII         8542.09    8544.44    CaII_8542.09        
I    HI           HI           8545.38    8547.73    HI_8545.38          
I    [ClII]       [ClII]       8578.70    8581.06    [ClII]_8578.7       
I    HI           HI           8598.39    8600.75    HI_8598.39          
I    [FeII]       [FeII]       8616.96    8619.33    [FeII]_8616.96      
I    CaII         CaII         8662.14    8664.52    CaII_8662.14        
I    HI           HI           8665.02    8667.40    HI_8665.02          
I    [CI]         [CI]         8727.13    8729.53    [CI]_8727.13        
I    HI           HI           8750.47    8752.87    HI_8750.47          
I    HI           HI           8862.78    8865.21    HI_8862.78          
I    [FeII]       [FeII]       8891.88    8894.32    [FeII]_8891.88      
I    HI           HI           9014.91    9017.38    HI_9014.91          
I    [FeII]       [FeII]       9033.45    9035.93    [FeII]_9033.45      
