Source_name Other_name        RA        Dec RegType   Major   Minor Theta expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3538 60178   900.0 14.945546 -72.150982   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60178/lvmSFrame-00003538.fits          3538     561.71           20           42
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3912 60184   900.0 14.922433 -72.148489   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003912.fits          3912     647.83            8          230
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3912 60184   900.0 14.922433 -72.148489   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003912.fits          3912      98.21            9          230
 J0056-7209      SNRC1 14.117083 -72.161667 ellipse   21.25 14.0625  30.0   3912 60184   900.0 14.922433 -72.148489   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003912.fits          3912     889.71           19          230
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3912 60184   900.0 14.922433 -72.148489   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003912.fits          3912     540.23           20          230
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3913 60184   900.0 14.926959 -72.149316   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003913.fits          3913     648.16            8          231
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3913 60184   900.0 14.926959 -72.149316   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003913.fits          3913      99.29            9          231
 J0056-7209      SNRC1 14.117083 -72.161667 ellipse   21.25 14.0625  30.0   3913 60184   900.0 14.926959 -72.149316   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003913.fits          3913     894.53           19          231
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3913 60184   900.0 14.926959 -72.149316   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003913.fits          3913     544.01           20          231
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3914 60184   900.0 14.931946 -72.149239   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003914.fits          3914     651.50            8          232
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3914 60184   900.0 14.931946 -72.149239   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003914.fits          3914     103.32            9          232
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3914 60184   900.0 14.931946 -72.149239   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003914.fits          3914     549.32           20          232
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3915 60184   900.0 14.934813 -72.150197   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003915.fits          3915     650.48            8          233
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3915 60184   900.0 14.934813 -72.150197   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003915.fits          3915     103.24            9          233
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3915 60184   900.0 14.934813 -72.150197   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003915.fits          3915     551.26           20          233
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3916 60184   900.0 14.936168 -72.150811   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003916.fits          3916     649.54            8          234
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3916 60184   900.0 14.936168 -72.150811   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003916.fits          3916     102.90            9          234
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3916 60184   900.0 14.936168 -72.150811   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003916.fits          3916     552.02           20          234
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3917 60184   900.0 14.939282 -72.151032   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003917.fits          3917     650.88            8          235
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3917 60184   900.0 14.939282 -72.151032   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003917.fits          3917     105.02            9          235
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3917 60184   900.0 14.939282 -72.151032   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60184/lvmSFrame-00003917.fits          3917     555.06           20          235
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3970 60185   900.0 14.914687 -72.152265   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003970.fits          3970     631.78            8          274
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3970 60185   900.0 14.914687 -72.152265   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003970.fits          3970      82.32            9          274
 J0056-7209      SNRC1 14.117083 -72.161667 ellipse   21.25 14.0625  30.0   3970 60185   900.0 14.914687 -72.152265   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003970.fits          3970     880.46           19          274
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3970 60185   900.0 14.914687 -72.152265   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003970.fits          3970     527.84           20          274
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3971 60185   900.0 14.917133 -72.155948   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003971.fits          3971     622.34            8          275
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3971 60185   900.0 14.917133 -72.155948   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003971.fits          3971      74.92            9          275
 J0056-7209      SNRC1 14.117083 -72.161667 ellipse   21.25 14.0625  30.0   3971 60185   900.0 14.917133 -72.155948   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003971.fits          3971     882.66           19          275
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3971 60185   900.0 14.917133 -72.155948   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003971.fits          3971     526.55           20          275
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3972 60185   900.0 14.919739 -72.156256   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003972.fits          3972     623.07            8          276
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3972 60185   900.0 14.919739 -72.156256   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003972.fits          3972      76.44            9          276
 J0056-7209      SNRC1 14.117083 -72.161667 ellipse   21.25 14.0625  30.0   3972 60185   900.0 14.919739 -72.156256   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003972.fits          3972     885.50           19          276
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3972 60185   900.0 14.919739 -72.156256   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60185/lvmSFrame-00003972.fits          3972     529.00           20          276
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   4105 60187   900.0 15.195272 -71.512023   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60187/lvmSFrame-00004105.fits          4105     208.53           10          345
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   4106 60187   900.0 15.198849 -71.513422   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60187/lvmSFrame-00004106.fits          4106     206.46           10          346
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0   4107 60187   900.0 15.201689 -71.513202   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60187/lvmSFrame-00004107.fits          4107     208.91           10          347
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4423 60194   900.0 17.082521 -71.992736   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004423.fits          4423     670.54           17          464
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4424 60194   900.0  17.08541  -71.99418   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004424.fits          4424     670.46           17          465
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4425 60194   900.0 17.087693 -71.994319   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004425.fits          4425     672.35           17          466
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4426 60194   900.0 17.089903  -71.99467   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004426.fits          4426     673.76           17          467
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4427 60194   900.0 17.091717 -71.995574   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004427.fits          4427     673.77           17          468
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4428 60194   900.0 17.092282 -71.996078   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004428.fits          4428     673.36           17          469
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4435 60194   900.0 17.088631 -71.999447   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004435.fits          4435     663.63           17          476
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4436 60194   900.0 17.087486 -71.998518   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004436.fits          4436     664.25           17          477
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   4437 60194   900.0 17.086682 -71.999164   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60194/lvmSFrame-00004437.fits          4437     662.29           17          478
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4796 60201   900.0 12.746929 -72.702924 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004796.fits          4796     628.97            7          522
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4797 60201   900.0  12.76078 -72.708617 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004797.fits          4797     627.20            7          523
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4798 60201   900.0 12.743461 -72.709606 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004798.fits          4798     644.72            7          524
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4799 60201   900.0 12.733684 -72.705128 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004799.fits          4799     645.21            7          525
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4800 60201   900.0 12.723195 -72.707283 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004800.fits          4800     658.82            7          526
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4801 60201   900.0 12.743038 -72.707113 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004801.fits          4801     640.34            7          527
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0   4802 60201   900.0 12.724341 -72.711086 1000565 sdsswork/lvm/spectro/redux/1.1.1/1000XX/1000565/60201/lvmSFrame-00004802.fits          4802     664.88            7          528
