# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of NI0520a (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d           I 
  14935  1.333   2  2009  311  20.76  55143.061   73.2   1.621e+00 
  14939  1.000   1  2009  311  22.88  55143.149   73.2   7.890e-01 
  14985  1.000   1  2009  312  22.00  55144.112   73.1   1.666e+00 
  14993  1.000   1  2009  313   1.79  55144.270   73.0   1.338e-01 
  15032  1.000   1  2009  313  21.37  55145.086   72.9   1.081e+00 
  15036  1.000   1  2009  313  23.41  55145.171   72.8   1.530e-01 
  15041  0.667   1  2009  314   1.82  55145.271   72.8   7.035e-01 
  15045  0.333   1  2009  314   3.51  55145.342   72.8   4.464e-01 
  15078  0.667   1  2009  314  20.38  55146.045   72.6   2.030e+00 
  15079  0.667   1  2009  314  20.76  55146.061   72.6   9.807e-01 
  15080  0.667   1  2009  314  21.15  55146.077   72.6   5.287e-01 
  15081  1.333   2  2009  314  21.72  55146.101   72.6   1.752e-01 
  15082  0.667   1  2009  314  22.30  55146.125   72.6   3.893e-01 
  15083  0.667   1  2009  314  22.69  55146.141   72.6   4.089e-01 
  15084  0.667   1  2009  314  23.07  55146.157   72.6   4.754e-02 
  15086  0.667   1  2009  315   0.49  55146.216   72.6   1.485e-01 
  15090  0.333   2  2009  315   2.36  55146.294   72.6   2.771e-01 
  15092  0.333   1  2009  315   3.34  55146.335   72.6   3.170e-02 
  15511  1.333   2  2009  323  20.79  55155.062   72.2   6.762e-01 
  15512  0.667   1  2009  323  21.34  55155.085   72.2   4.764e-01 
  15513  0.667   1  2009  323  21.70  55155.100   72.2   3.708e-01 
  15514  0.500   1  2009  323  22.23  55155.122   72.2   2.940e-01 
  15515  1.000   2  2009  323  22.65  55155.139   72.2   1.675e-01 
  15516  0.500   1  2009  323  23.07  55155.157   72.2   5.894e-02 
  15562  1.000   1  2009  324  22.23  55156.122   72.2   1.368e-01 
  15563  1.000   1  2009  324  22.76  55156.144   72.2   1.006e-01 
  15564  1.000   1  2009  324  23.28  55156.166   72.2   1.186e-01 
  15565  1.000   1  2009  324  23.81  55156.188   72.2   5.780e-02 
  15619  0.722   1  2009  326   2.96  55157.319   72.2   6.347e-01 
  15620  0.722   1  2009  326   3.37  55157.336   72.2   4.367e-01 
  15656  1.000   2  2009  326  21.27  55158.082   72.2   2.502e-01 
  15657  1.000   2  2009  326  21.82  55158.105   72.2   2.586e-01 
  15658  0.500   1  2009  326  22.24  55158.122   72.2   2.501e-01 
  15659  0.500   1  2009  326  22.51  55158.134   72.2  -2.372e-02 
  15660  0.911   1  2009  326  23.27  55158.165   72.2   1.568e-01 
  15661  0.911   1  2009  326  23.76  55158.186   72.2   7.161e-02 
  15662  0.911   1  2009  327   0.26  55158.206   72.2   1.042e-01 
  15663  0.911   1  2009  327   0.76  55158.227   72.2   6.703e-02 
  15665  1.111   2  2009  327   1.84  55158.272   72.2   1.372e-01 
  15667  1.000   2  2009  327   2.69  55158.308   72.2   2.435e-01 
  15709  1.000   2  2009  327  23.84  55159.189   72.1   2.556e-01 
  15751  0.839   1  2009  328  20.65  55160.056   72.1   1.929e+00 
  15752  0.839   1  2009  328  21.12  55160.075   72.1   1.478e+00 
  15753  0.839   1  2009  328  21.58  55160.095   72.1   5.819e-01 
  15754  0.556   1  2009  328  22.25  55160.123   72.1   1.360e-01 
  15755  1.111   2  2009  328  22.73  55160.143   72.1   1.162e-01 
  15756  0.433   1  2009  328  23.42  55160.171   72.1   9.499e-02 
  15757  0.867   2  2009  328  23.78  55160.186   72.0   1.819e-01 
  15758  0.433   1  2009  329   0.14  55160.201   72.0   6.060e-04 
  15761  0.450   1  2009  329   1.63  55160.263   72.0   1.958e-01 
  15762  0.450   1  2009  329   2.00  55160.279   72.0   4.084e-01 
  15763  0.900   2  2009  329   2.76  55160.311   72.0   6.211e-01 
