# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# List of lines/multiplets/features with measured X-shooter/UVES time series
# that were used for the derivation of the PALACE reference climatologies
# (includes results from noll+19, noll+23, and noll+24)
# 
# Column names:
# feat: label of line/multiplet/feature
# lam: central vacuum wavelength in µm (source: HITRAN2020 for molecules,
#      NIST for atoms, or noll+24 for continuum features)
# dlam: distance from lam to lower und upper wavelength limit in µm
#       (multiplet: defined by distribution of component wavelengths,
#       continuum feature: defined by integration range)
# Nlin: number of components (99 for continuum feature)
# I: reference intensity from climatology in R
# class: label of variability class
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# NIST: https://physics.nist.gov/asd
# noll+19: https://doi.org/10.1029/2018JD030044 (only KI0770)
# noll+23: https://doi.org/10.1029/2022JD038275 (OH at > 1.005 µm)
# noll+24: https://doi.org/10.5194/acp-24-1143-2024 (continuum features)
# 
      feat       lam      dlam  Nlin           I  class 
  OH62Q101  0.834689  0.000003     2   1.539e+02   OH7a 
  OH62Q102  0.835516  0.000010     2   5.386e+01   OH7a 
  OH62P201  0.838470  0.000004     2   3.611e+01   OH7a 
  OH62P101  0.840148  0.000005     2   1.234e+02   OH7a 
  OH62P202  0.841755  0.000002     2   4.806e+01   OH7a 
  OH62P102  0.843249  0.000010     2   1.390e+02   OH7a 
  OH62P103  0.846769  0.000015     2   1.005e+02   OH7a 
  OH62P204  0.849572  0.000005     2   2.721e+01   OH7b 
  OH62P104  0.850718  0.000021     2   5.566e+01   OH7b 
  OH62P105  0.855106  0.000028     2   2.492e+01   OH7b 
  OH62P206  0.859055  0.000016     2   7.135e+00   OH7b 
 O2b01P100  0.864926  0.000000     1   7.191e+00    O2b 
 O2b01P104  0.865748  0.000075     2   3.282e+01    O2b 
 O2b01P106  0.866226  0.000074     2   3.407e+01    O2b 
 O2b01P110  0.867238  0.000072     2   2.585e+01    O2b 
 O2b01P112  0.867772  0.000072     2   1.849e+01    O2b 
 O2b01P114  0.868325  0.000071     2   1.205e+01    O2b 
 O2b01P116  0.868897  0.000070     2   6.939e+00    O2b 
  OH62P108  0.870985  0.000052     2   4.064e+00   OH8c 
  OH73R102  0.878074  0.000002     2   1.014e+02   OH7a 
  OH73R202  0.879360  0.000001     2   4.148e+01   OH7a 
  OH73Q101  0.882952  0.000003     2   2.537e+02   OH7a 
  OH73Q102  0.883886  0.000010     2   9.467e+01   OH7a 
  OH73Q103  0.885225  0.000024     2   3.080e+01   OH7a 
  OH73P201  0.887002  0.000005     2   6.793e+01   OH7a 
  OH73P101  0.888829  0.000005     2   1.975e+02   OH7a 
  OH73P202  0.890556  0.000003     2   8.234e+01   OH7a 
  OH73P102  0.892208  0.000010     2   2.273e+02   OH7a 
  OH73P103  0.896054  0.000016     2   1.711e+02   OH7a 
  OH73P204  0.899083  0.000005     2   4.489e+01   OH7b 
  OH73P104  0.900382  0.000023     2   9.863e+01   OH7b 
  OH73P205  0.904054  0.000010     2   2.561e+01   OH7b 
  OH73P105  0.905203  0.000031     2   4.862e+01   OH7b 
  OH73P206  0.909505  0.000016     2   1.428e+01   OH7b 
  OH73P106  0.910527  0.000039     2   2.328e+01   OH7b 
  OH73P107  0.916367  0.000048     2   1.341e+01   OH8c 
  OH84R202  0.934042  0.000001     2   6.236e+01   OH9a 
  OH84Q101  0.937853  0.000003     2   4.357e+02   OH9a 
