# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter VIS-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter VIS-arm spectra
# upix: upper pixel of bin in X-shooter VIS-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng   rdelp    rdp        mfs       mdfs   rdels    rds 
 0.55072    840    866  6851   7.041e+00  4.268e+00  1.458e+00  6.236e+00  4.063e-01  -0.394  0.217  4.642e+00  1.546e+00  -0.341  0.228 
 0.55127    867    894  6845   6.787e+00  4.478e+00  1.550e+00  6.164e+00  4.208e-01  -0.340  0.231  4.671e+00  1.560e+00  -0.312  0.231 
 0.55182    895    921  6840   1.058e+01  4.485e+00  1.530e+00  6.284e+00  4.165e-01  -0.576  0.209  4.700e+00  1.575e+00  -0.556  0.213 
 0.55237    922    949  6845   1.128e+01  4.487e+00  1.527e+00  6.320e+00  4.152e-01  -0.602  0.208  4.729e+00  1.589e+00  -0.581  0.214 
 0.55293    950    977  6839   1.113e+01  4.450e+00  1.513e+00  6.064e+00  4.233e-01  -0.600  0.210  4.758e+00  1.603e+00  -0.572  0.221 
 0.55348    978   1004  6839   1.151e+01  4.447e+00  1.507e+00  6.222e+00  4.168e-01  -0.614  0.205  4.787e+00  1.617e+00  -0.584  0.219 
 0.55403   1005   1032  6846   1.355e+01  5.382e+00  1.771e+00  6.314e+00  4.602e-01  -0.603  0.239  5.906e+00  1.851e+00  -0.564  0.248 
 0.55459   1033   1060  6835   2.414e+01  5.829e+00  1.887e+00  6.350e+00  4.786e-01  -0.759  0.189  6.306e+00  1.905e+00  -0.739  0.190 
 0.55514   1061   1087  6845   2.167e+01  4.914e+00  1.639e+00  6.377e+00  4.352e-01  -0.773  0.179  5.186e+00  1.701e+00  -0.761  0.185 
 0.55570   1088   1115  6843   1.896e+01  4.657e+00  1.573e+00  6.301e+00  4.249e-01  -0.754  0.197  4.901e+00  1.673e+00  -0.741  0.209 
 0.55625   1116   1143  6849   1.868e+01  7.102e+00  2.215e+00  6.312e+00  5.294e-01  -0.620  0.314  7.251e+00  2.195e+00  -0.612  0.308 
 0.55681   1144   1171  6847   1.454e+01  5.519e+00  1.808e+00  6.160e+00  4.726e-01  -0.620  0.312  5.635e+00  1.825e+00  -0.612  0.312 
 0.55736   1172   1199  6860   1.261e+01  5.982e+00  2.034e+00  6.100e+00  4.951e-01  -0.525  0.340  7.163e+00  2.514e+00  -0.432  0.252 
 0.55792   1200   1227  6863   3.838e+02  3.581e+02  1.328e+02  6.207e+00  9.830e-01  -0.067  0.910  3.099e+02  1.135e+02  -0.193  0.685 
 0.55848   1228   1254  6851   9.591e+00  5.026e+00  1.696e+00  6.116e+00  4.511e-01  -0.476  0.450  5.044e+00  1.744e+00  -0.474  0.455 
 0.55904   1255   1282  6860   1.077e+01  7.067e+00  2.238e+00  5.884e+00  5.457e-01  -0.344  0.620  7.051e+00  2.203e+00  -0.345  0.603 
 0.55960   1283   1310  6858   8.847e+00  6.012e+00  1.967e+00  6.080e+00  4.972e-01  -0.320  0.624  5.927e+00  1.929e+00  -0.330  0.601 
 0.56016   1311   1338  6858   7.705e+00  5.400e+00  1.814e+00  6.033e+00  4.723e-01  -0.299  0.617  5.144e+00  1.788e+00  -0.332  0.590 
 0.56072   1339   1366  6865   1.004e+01  7.764e+00  2.440e+00  6.269e+00  5.533e-01  -0.227  0.790  7.836e+00  2.420e+00  -0.219  0.775 
 0.56128   1367   1394  6858   7.126e+00  5.527e+00  1.865e+00  6.311e+00  4.669e-01  -0.224  0.691  5.177e+00  1.811e+00  -0.273  0.646 
 0.56184   1395   1422  6865   7.641e+00  6.419e+00  2.108e+00  6.006e+00  5.166e-01  -0.160  0.776  5.879e+00  1.945e+00  -0.231  0.698 
 0.56240   1423   1451  6870   8.523e+00  7.664e+00  2.443e+00  6.216e+00  5.521e-01  -0.101  0.862  7.703e+00  2.363e+00  -0.096  0.817 
 0.56296   1452   1479  6859   6.711e+00  5.961e+00  2.009e+00  6.339e+00  4.846e-01  -0.112  0.776  5.259e+00  1.852e+00  -0.216  0.685 
 0.56353   1480   1507  6862   6.500e+00  6.114e+00  2.059e+00  6.283e+00  4.932e-01  -0.059  0.835  5.286e+00  1.866e+00  -0.187  0.718 
 0.56409   1508   1535  6859   6.991e+00  6.723e+00  2.253e+00  6.170e+00  5.214e-01  -0.038  0.901  5.849e+00  1.949e+00  -0.163  0.746 
 0.56465   1536   1563  6868   7.723e+00  7.479e+00  2.487e+00  6.291e+00  5.431e-01  -0.032  0.950  6.572e+00  2.103e+00  -0.149  0.776 
 0.56522   1564   1592  6859   6.516e+00  6.405e+00  2.157e+00  6.224e+00  5.072e-01  -0.017  0.880  5.368e+00  1.907e+00  -0.176  0.733 
 0.56578   1593   1620  6857   6.337e+00  6.450e+00  2.173e+00  6.045e+00  5.162e-01   0.018  0.909  5.395e+00  1.920e+00  -0.148  0.758 
 0.56635   1621   1648  6861   6.798e+00  6.810e+00  2.287e+00  6.064e+00  5.290e-01   0.002  0.946  6.014e+00  2.032e+00  -0.115  0.796 
 0.56692   1649   1676  6858   7.129e+00  7.112e+00  2.382e+00  6.238e+00  5.328e-01  -0.002  0.965  5.971e+00  2.006e+00  -0.162  0.769 
 0.56748   1677   1705  6856   6.794e+00  6.617e+00  2.227e+00  6.374e+00  5.094e-01  -0.026  0.906  5.474e+00  1.960e+00  -0.194  0.749 
 0.56805   1706   1733  6854   6.817e+00  6.637e+00  2.235e+00  6.294e+00  5.133e-01  -0.026  0.915  5.499e+00  1.973e+00  -0.193  0.754 
 0.56862   1734   1762  6858   7.102e+00  6.686e+00  2.251e+00  6.150e+00  5.209e-01  -0.059  0.911  5.521e+00  1.985e+00  -0.223  0.750 
 0.56919   1763   1790  6860   7.517e+00  6.933e+00  2.328e+00  6.183e+00  5.286e-01  -0.078  0.930  5.546e+00  1.998e+00  -0.262  0.742 
 0.56976   1791   1819  6858   7.459e+00  7.070e+00  2.373e+00  6.284e+00  5.294e-01  -0.052  0.949  5.912e+00  2.037e+00  -0.207  0.761 
 0.57033   1820   1847  6851   7.243e+00  6.904e+00  2.323e+00  6.132e+00  5.296e-01  -0.047  0.948  5.604e+00  2.026e+00  -0.226  0.764 
 0.57090   1848   1876  6858   7.229e+00  6.964e+00  2.344e+00  5.945e+00  5.395e-01  -0.037  0.913  5.631e+00  2.040e+00  -0.221  0.736 
 0.57147   1877   1904  6857   7.736e+00  7.045e+00  2.371e+00  6.053e+00  5.379e-01  -0.089  0.880  5.657e+00  2.053e+00  -0.269  0.706 
 0.57204   1905   1933  6856   7.723e+00  7.221e+00  2.425e+00  6.254e+00  5.359e-01  -0.065  0.895  5.678e+00  2.064e+00  -0.265  0.706 
 0.57261   1934   1961  6862   7.637e+00  7.302e+00  2.451e+00  6.378e+00  5.338e-01  -0.044  0.897  5.708e+00  2.079e+00  -0.253  0.705 
 0.57318   1962   1990  6862   7.503e+00  7.165e+00  2.410e+00  6.338e+00  5.306e-01  -0.045  0.868  5.735e+00  2.092e+00  -0.236  0.705 
 0.57376   1991   2019  6860   7.795e+00  7.144e+00  2.403e+00  6.329e+00  5.302e-01  -0.084  0.787  5.762e+00  2.106e+00  -0.261  0.648 
 0.57433   2020   2047  6853   7.820e+00  7.149e+00  2.403e+00  6.324e+00  5.306e-01  -0.086  0.775  5.789e+00  2.119e+00  -0.260  0.647 
 0.57490   2048   2076  6856   7.595e+00  7.113e+00  2.392e+00  6.293e+00  5.306e-01  -0.063  0.789  5.819e+00  2.134e+00  -0.234  0.661 
 0.57548   2077   2105  6860   7.775e+00  7.183e+00  2.412e+00  6.085e+00  5.414e-01  -0.076  0.804  5.823e+00  2.138e+00  -0.251  0.670 
 0.57605   2106   2134  6861   7.656e+00  7.173e+00  2.408e+00  6.221e+00  5.355e-01  -0.063  0.813  5.822e+00  2.139e+00  -0.240  0.677 
 0.57663   2135   2162  6860   8.025e+00  7.031e+00  2.364e+00  6.251e+00  5.294e-01  -0.124  0.811  5.823e+00  2.141e+00  -0.274  0.689 
 0.57721   2163   2191  6853   7.677e+00  6.989e+00  2.350e+00  6.288e+00  5.264e-01  -0.090  0.835  5.822e+00  2.142e+00  -0.242  0.712 
 0.57778   2192   2220  6855   7.281e+00  6.954e+00  2.338e+00  6.289e+00  5.251e-01  -0.045  0.869  5.825e+00  2.145e+00  -0.200  0.743 
 0.57836   2221   2249  6858   7.032e+00  6.919e+00  2.326e+00  6.094e+00  5.317e-01  -0.016  0.877  5.827e+00  2.147e+00  -0.171  0.759 
 0.57894   2250   2278  6860   7.438e+00  6.937e+00  2.328e+00  6.192e+00  5.284e-01  -0.067  0.869  5.832e+00  2.151e+00  -0.216  0.748 
 0.57952   2279   2307  6863   7.242e+00  7.041e+00  2.351e+00  6.262e+00  5.293e-01  -0.028  0.887  5.838e+00  2.154e+00  -0.194  0.754 
 0.58010   2308   2336  6863   7.210e+00  6.873e+00  2.308e+00  6.357e+00  5.195e-01  -0.047  0.860  5.845e+00  2.159e+00  -0.189  0.744 
 0.58068   2337   2365  6864   7.223e+00  6.849e+00  2.302e+00  6.277e+00  5.218e-01  -0.052  0.848  5.852e+00  2.163e+00  -0.190  0.734 
 0.58126   2366   2394  6860   7.105e+00  6.845e+00  2.300e+00  6.368e+00  5.181e-01  -0.037  0.879  5.859e+00  2.167e+00  -0.175  0.759 
 0.58184   2395   2423  6858   7.156e+00  6.848e+00  2.301e+00  6.355e+00  5.186e-01  -0.043  0.881  5.864e+00  2.171e+00  -0.180  0.760 
 0.58242   2424   2452  6856   7.193e+00  6.856e+00  2.303e+00  6.458e+00  5.149e-01  -0.047  0.877  5.869e+00  2.174e+00  -0.184  0.757 
 0.58301   2453   2481  6858   7.102e+00  6.976e+00  2.334e+00  6.460e+00  5.192e-01  -0.018  0.895  5.872e+00  2.177e+00  -0.173  0.766 
 0.58359   2482   2510  6855   7.131e+00  7.006e+00  2.343e+00  6.448e+00  5.208e-01  -0.017  0.903  5.875e+00  2.180e+00  -0.176  0.768 
 0.58417   2511   2540  6858   7.077e+00  6.968e+00  2.337e+00  6.492e+00  5.177e-01  -0.016  0.900  5.878e+00  2.182e+00  -0.169  0.765 
 0.58476   2541   2569  6857   6.863e+00  6.991e+00  2.348e+00  6.493e+00  5.185e-01   0.019  0.923  5.880e+00  2.185e+00  -0.143  0.782 
 0.58534   2570   2598  6857   6.886e+00  7.144e+00  2.394e+00  6.439e+00  5.260e-01   0.037  0.941  5.881e+00  2.187e+00  -0.146  0.785 
