# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra with atmospheric extinction for the total emission
# and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: air wavelength in µm
# f{species}: flux in R/nm with atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam     fall    dfall      fOH     dfOH      fO2     dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3033     1.06     0.43     0.00     0.00     0.90     0.36   0.05   0.03  0.10   0.04   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3034     1.07     0.44     0.00     0.00     0.91     0.37   0.06   0.03  0.10   0.04   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3035     1.09     0.45     0.00     0.00     0.93     0.37   0.06   0.03  0.11   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3036     1.10     0.45     0.00     0.00     0.93     0.38   0.06   0.03  0.11   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3037     1.11     0.45     0.00     0.00     0.94     0.38   0.06   0.03  0.11   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3038     1.11     0.45     0.00     0.00     0.94     0.38   0.06   0.03  0.11   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3039     1.12     0.46     0.00     0.00     0.95     0.38   0.06   0.03  0.11   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3040     1.13     0.46     0.00     0.00     0.96     0.39   0.06   0.03  0.11   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3041     1.15     0.47     0.00     0.00     0.98     0.39   0.06   0.03  0.11   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3042     1.17     0.48     0.00     0.00     1.00     0.40   0.06   0.03  0.11   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3043     1.20     0.49     0.00     0.00     1.02     0.41   0.06   0.03  0.12   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3044     1.22     0.50     0.00     0.00     1.04     0.42   0.06   0.03  0.12   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3045     1.25     0.51     0.00     0.00     1.06     0.43   0.07   0.03  0.12   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3046     1.29     0.53     0.00     0.00     1.09     0.44   0.07   0.03  0.13   0.05   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3047     1.32     0.54     0.00     0.00     1.12     0.45   0.07   0.03  0.13   0.06   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3048     1.36     0.56     0.00     0.00     1.16     0.47   0.07   0.04  0.13   0.06   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3049     1.40     0.57     0.00     0.00     1.19     0.48   0.07   0.04  0.14   0.06   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3050     1.44     0.59     0.00     0.00     1.22     0.49   0.07   0.04  0.14   0.06   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3051     1.47     0.60     0.00     0.00     1.25     0.50   0.08   0.04  0.15   0.06   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3052     1.49     0.61     0.00     0.00     1.27     0.51   0.08   0.04  0.15   0.06   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
