# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# OH level populations from measured reference intensities of Lambda doublets
# (based on X-shooter/UVES data) that were used for the OH population model
# 
# Column names:
# lam: central vacuum wavelength in µm (HITRAN2020)
# dlam: distance of Lambda doublet components from lam in µm
# ID: 12 characters describing upper and lower states (HITRAN2020)
#     (see pmd_reflineint_mol.dat for details)
# vi: vibrational level of upper state
# Fi: electronic substate of upper state (1 or 2)
# Ni: rotational level of upper state
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# Aijc: corrected Einstein-A coefficient in 1/s (see pmd_corrA_Ohbands.dat
#       for branch and band corrections)
# gi: statistical weight (HITRAN2020)
# I: measured reference intensity in R
# src: source of I: x = X-shooter-based climatology (partly from noll+23),
#      u = UVES mean spectrum (noll+20), c = UVES mean spectrum (cosby+06)
# y: natural logarithm of population in Rs, i.e. ln(I/(Aijc*gi))
# 
# References:
# cosby+06: https://doi.org/10.1029/2006JA012023 (only vi = 10)
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020 (< 1.05 µm)
# noll+23: https://doi.org/10.1029/2022JD038275 (> 1.005 µm)
# 
      lam      dlam            ID  vi  Fi  Ni         Ei        Aij       Aijc   gi          I  src       y 
 0.614618  0.000001  OHXX50RR1102   5   1   2  16270.304  2.056e-03  2.159e-03   24  6.785e-01    u   2.572 
 0.614618  0.000001  OHXX50RR1102   5   1   2  16270.304  2.056e-03  2.133e-03   24  1.050e+00    x   3.021 
 0.614630  0.000039  OHXX82PP1109   8   1   9  25106.980  3.745e-02  4.454e-02   80  1.326e-01    u  -3.291 
 0.615263  0.000001  OHXX50RR2202   5   2   2  16379.589  2.611e-03  2.743e-03   16  2.514e-01    u   1.746 
 0.617123  0.000005  OHXX50QQ2201   5   2   1  16330.583  3.023e-03  3.205e-03    8  1.513e-01    u   1.775 
 0.617235  0.000002  OHXX50QQ1101   5   1   1  16201.324  5.238e-03  5.486e-03   16  1.862e+00    x   3.055 
 0.617235  0.000002  OHXX50QQ1101   5   1   1  16201.324  5.238e-03  5.554e-03   16  1.840e+00    u   3.030 
 0.617590  0.000009  OHXX50QQ2202   5   2   2  16379.589  6.688e-04  5.886e-04   16  5.437e-02    u   1.753 
 0.617800  0.000006  OHXX50QQ1102   5   1   2  16270.304  2.130e-03  1.875e-03   24  5.873e-01    u   2.569 
 0.618634  0.000026  OHXX82PP2210   8   2  10  25407.157  3.929e-02  7.452e-02   80  1.683e-01    u  -3.567 
 0.619028  0.000046  OHXX82PP1110   8   1  10  25359.750  3.908e-02  4.862e-02   88  1.298e-01    u  -3.495 
 0.619465  0.000003  OHXX50PP2201   5   2   1  16330.583  6.522e-03  7.356e-03    8  4.585e-01    u   2.053 
 0.620444  0.000003  OHXX50PP1101   5   1   1  16201.324  4.206e-03  4.686e-03   16  1.772e+00    x   3.163 
 0.620444  0.000003  OHXX50PP1101   5   1   1  16201.324  4.206e-03  4.744e-03   16  1.694e+00    u   3.105 
 0.621478  0.000001  OHXX50PP2202   5   2   2  16379.589  6.256e-03  7.195e-03   16  6.680e-01    u   1.758 
 0.622349  0.000006  OHXX50PP1102   5   1   2  16270.304  5.265e-03  5.982e-03   24  1.882e+00    x   2.573 
 0.622349  0.000006  OHXX50PP1102   5   1   2  16270.304  5.265e-03  6.055e-03   24  1.957e+00    u   2.600 
 0.623602  0.000000  OHXX93RR1103   9   1   3  26321.325  3.971e-02  3.434e-02   32  2.674e+00    x   0.889 
 0.623602  0.000000  OHXX93RR1103   9   1   3  26321.325  3.971e-02  3.417e-02   32  2.491e+00    u   0.823 
 0.623739  0.000000  OHXX93RR1104   9   1   4  26423.317  4.119e-02  3.479e-02   40  1.583e+00    u   0.129 
 0.623767  0.000001  OHXX93RR1102   9   1   2  26242.186  3.179e-02  2.788e-02   24  3.234e+00    u   1.575 
 0.623872  0.000003  OHXX93RR2204   9   2   4  26510.589  4.474e-02  3.779e-02   32  7.052e-01    u  -0.539 
 0.623914  0.000002  OHXX93RR2203   9   2   3  26420.370  4.519e-02  3.889e-02   24  1.000e+00    u   0.069 
 0.624341  0.000000  OHXX93RR2202   9   2   2  26355.564  4.048e-02  3.550e-02   16  1.006e+00    u   0.571 
 0.624341  0.000000  OHXX93RR2202   9   2   2  26355.564  4.048e-02  3.568e-02   16  9.856e-01    x   0.546 
 0.624537  0.000010  OHXX50PP1103   5   1   3  16367.380  5.796e-03  6.796e-03   32  1.381e+00    u   1.848 
 0.624537  0.000010  OHXX50PP1103   5   1   3  16367.380  5.796e-03  6.714e-03   32  1.094e+00    x   1.627 
 0.624910  0.000003  OHXX93RR2206   9   2   6  26765.586  3.974e-02  3.232e-02   48  1.786e-01    u  -2.162 
 0.624974  0.000004  OHXX93RR1106   9   1   6  26695.938  3.802e-02  3.092e-02   56  3.383e-01    u  -1.633 
 0.625867  0.000004  OHXX93QQ2201   9   2   1  26316.519  4.558e-02  4.029e-02    8  7.146e-01    u   0.796 
 0.625969  0.000001  OHXX93QQ1101   9   1   1  26185.799  7.961e-02  7.038e-02   16  6.657e+00    u   1.777 
 0.625969  0.000001  OHXX93QQ1101   9   1   1  26185.799  7.961e-02  7.072e-02   16  6.528e+00    x   1.752 
 0.626092  0.000007  OHXX93RR1107   9   1   7  26866.418  3.528e-02  2.815e-02   64  1.784e-01    u  -2.312 
 0.626349  0.000004  OHXX50PP2204   5   2   4  16573.738  6.474e-03  7.741e-03   32  3.390e-01    u   0.314 
 0.626447  0.000007  OHXX93QQ2202   9   2   2  26355.564  9.859e-03  7.259e-03   16  1.997e-01    u   0.542 
 0.626695  0.000005  OHXX93QQ1102   9   1   2  26242.186  3.272e-02  2.421e-02   24  2.214e+00    x   1.338 
 0.626695  0.000005  OHXX93QQ1102   9   1   2  26242.186  3.272e-02  2.409e-02   24  2.341e+00    u   1.399 
 0.627014  0.000014  OHXX50PP1104   5   1   4  16492.823  6.164e-03  7.281e-03   40  7.575e-01    x   0.956 
 0.627014  0.000014  OHXX50PP1104   5   1   4  16492.823  6.164e-03  7.370e-03   40  7.316e-01    u   0.909 
 0.627558  0.000011  OHXX93RR1108   9   1   8  27059.446  3.225e-02  2.526e-02   72  6.248e-02    u  -3.371 
 0.627733  0.000011  OHXX93QQ1103   9   1   3  26321.325  1.733e-02  1.062e-02   32  8.004e-01    u   0.856 
 0.627733  0.000011  OHXX93QQ1103   9   1   3  26321.325  1.733e-02  1.068e-02   32  7.741e-01    x   0.818 
 0.627983  0.000003  OHXX93PP2201   9   2   1  26316.519  9.722e-02  9.136e-02    8  1.363e+00    u   0.623 
 0.628619  0.000038  OHXX82PP2212   8   2  12  25975.702  4.239e-02  5.503e-02   96  8.066e-02    u  -4.182 
 0.628917  0.000003  OHXX93PP1101   9   1   1  26185.799  6.189e-02  5.816e-02   16  5.815e+00    u   1.833 
 0.628917  0.000003  OHXX93PP1101   9   1   1  26185.799  6.189e-02  5.844e-02   16  5.758e+00    x   1.818 
 0.628964  0.000062  OHXX82PP1112   8   1  12  25934.429  4.224e-02  1.058e-01  104  1.980e-01    u  -4.018 
 0.629097  0.000019  OHXX93QQ1104   9   1   4  26423.317  1.050e-02  4.095e-03   40  1.872e-01    u   0.134 
 0.629785  0.000018  OHXX50PP1105   5   1   5  16646.801  6.462e-03  7.878e-03   48  2.833e-01    u  -0.289 
 0.629964  0.000002  OHXX93PP2202   9   2   2  26355.564  9.225e-02  8.833e-02   16  2.424e+00    u   0.539 
 0.629964  0.000002  OHXX93PP2202   9   2   2  26355.564  9.225e-02  8.876e-02   16  2.373e+00    x   0.513 
 0.630867  0.000006  OHXX93PP1102   9   1   2  26242.186  7.693e-02  7.402e-02   24  7.209e+00    x   1.401 
 0.630867  0.000006  OHXX93PP1102   9   1   2  26242.186  7.693e-02  7.366e-02   24  7.186e+00    u   1.402 
 0.632315  0.000001  OHXX93PP2203   9   2   3  26420.370  9.232e-02  9.053e-02   24  2.404e+00    x   0.101 
 0.632315  0.000001  OHXX93PP2203   9   2   3  26420.370  9.232e-02  9.009e-02   24  2.296e+00    u   0.060 
 0.632854  0.000022  OHXX50PP1106   5   1   6  16829.371  6.719e-03  8.352e-03   56  1.163e-01    u  -1.392 
 0.633159  0.000009  OHXX93PP1103   9   1   3  26321.325  8.420e-02  8.215e-02   32  5.949e+00    u   0.817 
 0.633159  0.000009  OHXX93PP1103   9   1   3  26321.325  8.420e-02  8.256e-02   32  6.020e+00    x   0.824 
 0.634207  0.000045  OHXX82PP2213   8   2  13  26294.254  4.385e-02  5.816e-02  104  6.838e-02    u  -4.483 
 0.634533  0.000071  OHXX82PP1113   8   1  13  26255.435  4.372e-02  4.359e-02  112  6.716e-02    u  -4.286 
 0.635029  0.000002  OHXX93PP2204   9   2   4  26510.589  9.400e-02  9.393e-02   32  1.734e+00    x  -0.550 
 0.635029  0.000002  OHXX93PP2204   9   2   4  26510.589  9.400e-02  9.347e-02   32  1.712e+00    u  -0.558 
 0.635806  0.000014  OHXX93PP1104   9   1   4  26423.317  8.916e-02  8.866e-02   40  3.933e+00    u   0.104 
 0.635806  0.000014  OHXX93PP1104   9   1   4  26423.317  8.916e-02  8.909e-02   40  3.889e+00    x   0.087 
 0.638108  0.000005  OHXX93PP2205   9   2   5  26625.808  9.631e-02  9.807e-02   40  1.113e+00    x  -1.259 
 0.638108  0.000005  OHXX93PP2205   9   2   5  26625.808  9.631e-02  9.759e-02   40  1.044e+00    u  -1.319 
 0.638819  0.000019  OHXX93PP1105   9   1   5  26548.200  9.319e-02  9.489e-02   48  2.206e+00    x  -0.725 
 0.638819  0.000019  OHXX93PP1105   9   1   5  26548.200  9.319e-02  9.443e-02   48  2.116e+00    u  -0.762 
 0.640526  0.000080  OHXX82PP1114   8   1  14  26598.196  4.511e-02  6.112e-02  120  4.296e-02    u  -5.140 
 0.641558  0.000008  OHXX93PP2206   9   2   6  26765.586  9.887e-02  1.021e-01   48  5.408e-01    u  -2.204 
 0.642208  0.000024  OHXX93PP1106   9   1   6  26695.938  9.673e-02  9.987e-02   56  1.043e+00    u  -1.680 
 0.643533  0.000023  OHXX50PP2209   5   2   9  17594.658  7.394e-03  9.744e-03   72  4.503e-02    u  -2.746 
 0.643901  0.000038  OHXX50PP1109   5   1   9  17547.680  7.331e-03  9.661e-03   80  5.008e-02    u  -2.737 
 0.645983  0.000030  OHXX93PP1107   9   1   7  26866.418  9.995e-02  1.052e-01   64  5.446e-01    u  -2.514 
 0.646531  0.000002  OHXX61RR1104   6   1   4  19230.483  1.575e-02  1.599e-02   40  1.244e+00    u   0.665 
 0.646559  0.000001  OHXX61RR1105   6   1   5  19377.499  1.537e-02  1.533e-02   48  5.399e-01    u  -0.310 
 0.646668  0.000003  OHXX61RR2205   6   2   5  19450.059  1.620e-02  1.616e-02   40  2.749e-01    u  -0.855 
 0.647193  0.000001  OHXX61RR2203   6   2   3  19205.502  1.719e-02  1.775e-02   24  1.008e+00    u   0.861 
 0.647276  0.000001  OHXX61RR1102   6   1   2  19017.854  1.219e-02  1.281e-02   24  2.936e+00    u   2.257 
 0.647970  0.000001  OHXX61RR2202   6   2   2  19128.243  1.543e-02  1.621e-02   16  1.085e+00    u   1.431 
 0.647970  0.000001  OHXX61RR2202   6   2   2  19128.243  1.543e-02  1.626e-02   16  1.118e+00    x   1.458 
 0.648304  0.000001  OHXX61RR2208   6   2   8  20034.284  1.275e-02  1.208e-02   64  4.477e-02    u  -2.849 
 0.648362  0.000005  OHXX61RR1108   6   1   8  19981.530  1.245e-02  1.180e-02   72  4.926e-02    u  -2.847 
 0.649479  0.000000  OHXX61RR2209   6   2   9  20285.036  1.155e-02  1.076e-02   72  3.031e-02    u  -3.241 
 0.649607  0.000017  OHXX93PP2208   9   2   8  27116.991  1.041e-01  1.116e-01   64  1.793e-01    u  -3.685 
 0.649932  0.000006  OHXX61QQ2201   6   2   1  19081.651  1.758e-02  1.855e-02    8  8.214e-01    u   1.711 
 0.650052  0.000002  OHXX61QQ1101   6   1   1  18951.873  3.055e-02  3.233e-02   16  7.839e+00    x   2.718 
 0.650052  0.000002  OHXX61QQ1101   6   1   1  18951.873  3.055e-02  3.223e-02   16  7.688e+00    u   2.702 
 0.650156  0.000037  OHXX93PP1108   9   1   8  27059.447  1.029e-01  1.104e-01   72  2.924e-01    u  -3.303 
 0.650446  0.000009  OHXX61QQ2202   6   2   2  19128.243  3.876e-03  3.436e-03   16  2.037e-01    u   1.310 
 0.650679  0.000006  OHXX61QQ1102   6   1   2  19017.854  1.250e-02  1.109e-02   24  2.557e+00    u   2.263 
 0.650679  0.000006  OHXX61QQ1102   6   1   2  19017.854  1.250e-02  1.112e-02   24  2.645e+00    x   2.294 
 0.651063  0.000011  OHXX61RR1110   6   1  10  20518.401  1.020e-02  9.335e-03   88  4.630e-02    u  -2.876 
 0.651289  0.000010  OHXX61QQ2203   6   2   3  19205.502  1.890e-03  1.408e-03   24  6.361e-02    u   0.633 
 0.651579  0.000015  OHXX61QQ1103   6   1   3  19110.648  6.603e-03  4.920e-03   32  7.687e-01    u   1.586 
 0.652423  0.000003  OHXX61PP2201   6   2   1  19081.651  3.762e-02  4.223e-02    8  1.891e+00    x   1.723 
 0.652423  0.000003  OHXX61PP2201   6   2   1  19081.651  3.762e-02  4.210e-02    8  1.848e+00    u   1.703 
 0.652764  0.000026  OHXX61QQ1104   6   1   4  19230.483  4.001e-03  2.485e-03   40  1.779e-01    u   0.582 
 0.653485  0.000003  OHXX61PP1101   6   1   1  18951.873  2.414e-02  2.701e-02   16  6.510e+00    u   2.712 
 0.653485  0.000003  OHXX61PP1101   6   1   1  18951.873  2.414e-02  2.709e-02   16  6.655e+00    x   2.731 
 0.654583  0.000002  OHXX61PP2202   6   2   2  19128.243  3.595e-02  4.093e-02   16  2.569e+00    u   1.367 
 0.654583  0.000002  OHXX61PP2202   6   2   2  19128.243  3.595e-02  4.106e-02   16  2.698e+00    x   1.413 
 0.654740  0.000045  OHXX93PP1109   9   1   9  27274.762  1.058e-01  1.070e-01   80  1.986e-01    u  -3.764 
 0.655543  0.000006  OHXX61PP1102   6   1   2  19017.854  3.017e-02  3.435e-02   24  7.557e+00    u   2.216 
 0.655543  0.000006  OHXX61PP1102   6   1   2  19017.854  3.017e-02  3.445e-02   24  7.783e+00    x   2.242 
 0.657059  0.000001  OHXX61PP2203   6   2   3  19205.502  3.625e-02  4.211e-02   24  1.971e+00    x   0.668 
 0.657059  0.000001  OHXX61PP2203   6   2   3  19205.502  3.625e-02  4.198e-02   24  2.278e+00    u   0.816 
 0.657853  0.000058  OHXX50PP1112   5   1  12  18516.619  7.762e-03  1.882e-01  104  1.141e+00    u  -2.843 
 0.657910  0.000010  OHXX61PP1103   6   1   3  19110.648  3.320e-02  3.857e-02   32  6.006e+00    x   1.582 
 0.657910  0.000010  OHXX61PP1103   6   1   3  19110.648  3.320e-02  3.845e-02   32  5.733e+00    u   1.539 
 0.659751  0.000053  OHXX93PP1110   9   1  10  27512.035  1.084e-01  1.118e-01   88  1.021e-01    u  -4.568 
 0.659847  0.000003  OHXX61PP2204   6   2   4  19312.948  3.717e-02  4.393e-02   32  1.488e+00    x   0.057 
 0.659847  0.000003  OHXX61PP2204   6   2   4  19312.948  3.717e-02  4.380e-02   32  1.395e+00    u  -0.004 
 0.660596  0.000014  OHXX61PP1104   6   1   4  19230.483  3.536e-02  4.167e-02   40  3.134e+00    u   0.631 
 0.660596  0.000014  OHXX61PP1104   6   1   4  19230.483  3.536e-02  4.179e-02   40  3.194e+00    x   0.648 
 0.662945  0.000007  OHXX61PP2205   6   2   5  19450.059  3.835e-02  4.597e-02   40  6.947e-01    u  -0.974 
 0.662945  0.000007  OHXX61PP2205   6   2   5  19450.059  3.835e-02  4.611e-02   40  6.638e-01    x  -1.022 
 0.663190  0.000066  OHXX50PP1113   5   1  13  18893.551  7.873e-03  1.121e-02  112  5.251e-02    u  -3.175 
 0.663606  0.000019  OHXX61PP1105   6   1   5  19377.499  3.718e-02  4.471e-02   48  1.298e+00    x  -0.503 
 0.663606  0.000019  OHXX61PP1105   6   1   5  19377.499  3.718e-02  4.457e-02   48  1.449e+00    u  -0.390 
 0.665205  0.000062  OHXX93PP1111   9   1  11  27770.874  1.111e-01  4.977e-01   96  1.025e-01    u  -6.144 
 0.666361  0.000011  OHXX61PP2206   6   2   6  19616.315  3.964e-02  4.835e-02   48  3.516e-01    u  -1.887 
 0.666947  0.000024  OHXX61PP1106   6   1   6  19551.734  3.884e-02  4.751e-02   56  6.852e-01    x  -1.357 
 0.666947  0.000024  OHXX61PP1106   6   1   6  19551.734  3.884e-02  4.737e-02   56  6.067e-01    u  -1.475 
