# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference intensities for atomic lines (consistent with corresponding
# lines in palace_lines.fits)
# 
# Column names:
# lam: vacuum wavelength in µm (NIST)
# trans: atmospheric transmission for standard conditions at Cerro Paranal
#        (noll+12), PWV = 2.5 mm, and zenith
# fH2O: fraction of H2O with respect to optical depth (based on transmission
#       spectra with PWV = 1 and 5 mm)
# I: reference intensity in R
# ID: 12 characters describing upper and lower states (NIST):
#     1-2: chemical species
#     3-4: last subshell of configuration of upper state
#     5-6: term of upper state
#     7-8: last subshell of configuration of lower state
#     9-10: term of lower state
#     11: quantum number J of upper state multiplied by 2 (O: 1)
#     12: quantum number J of lower state multiplied by 2 (O: 1)
# chem: chemical species (Na, K, O, N, or H)
# M: molar mass in kg/mol
# Tkin: kinetic temperature in K for Doppler broadening of line
# hlay: height of emission layer in km (H: -1)
# src: 4-digit binary code for source of intensity I:
#      1: I based on X-shooter data (partly noll+23)? 1 = yes, 0 = no
#      2: I based on UVES data from noll+20? 1 = yes, 0 = no
#      3: I based on other data (cosby+06, oliva+15)? 1 = yes, 0 = no
#      4: I based on model (= 1) or direct measurement (= 0)?
# class: label of variability class
# 
# References:
# NIST: https://physics.nist.gov/asd
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# noll+19: https://doi.org/10.1029/2018JD030044 (only K lines)
# 
       lam   trans   fH2O          I            ID  chem      M    Tkin   hlay   src  class 
 0.4803476  0.9930  0.000  1.401e-02  O_8s5S3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.4804324  0.9930  0.000  1.959e-02  O_8s5S3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.4862637  0.9951  0.000  8.203e-04  H_4d2D2p2P31     H  0.001  1000.0   -1.0  1001      H 
 0.4862645  0.9951  0.000  3.245e-01  H_4p2P2s2S31     H  0.001  1000.0   -1.0  1001      H 
 0.4862646  0.9951  0.000  7.690e-03  H_4s2S2p2P11     H  0.001  1000.0   -1.0  1001      H 
 0.4862656  0.9951  0.000  1.620e-01  H_4p2P2s2S11     H  0.001  1000.0   -1.0  1001      H 
 0.4862719  0.9951  0.000  1.487e-03  H_4d2D2p2P53     H  0.001  1000.0   -1.0  1001      H 
 0.4862723  0.9951  0.000  1.538e-04  H_4d2D2p2P33     H  0.001  1000.0   -1.0  1001      H 
 0.4862733  0.9951  0.000  1.538e-02  H_4s2S2p2P13     H  0.001  1000.0   -1.0  1001      H 
 0.4968762  0.9936  0.000  8.080e-03  O_6d5D3p5P01     O  0.016  1000.0  300.0  1001    Orc 
 0.4968764  0.9936  0.000  1.813e-02  O_6d5D3p5P11     O  0.016  1000.0  300.0  1001    Orc 
 0.4968767  0.9936  0.000  1.409e-02  O_6d5D3p5P21     O  0.016  1000.0  300.0  1001    Orc 
 0.4969263  0.9936  0.000  6.031e-03  O_6d5D3p5P12     O  0.016  1000.0  300.0  1001    Orc 
 0.4969266  0.9936  0.000  2.348e-02  O_6d5D3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.4969270  0.9936  0.000  3.759e-02  O_6d5D3p5P32     O  0.016  1000.0  300.0  1001    Orc 
 0.4970174  0.9935  0.000  2.682e-03  O_6d5D3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.4970178  0.9935  0.000  1.879e-02  O_6d5D3p5P33     O  0.016  1000.0  300.0  1001    Orc 
 0.4970181  0.9935  0.000  7.272e-02  O_6d5D3p5P43     O  0.016  1000.0  300.0  1001    Orc 
 0.5020182  0.9904  0.009  1.621e-02  O_7s5S3p5P21     O  0.016  1000.0  300.0  1001    Orc 
 0.5020691  0.9897  0.039  2.700e-02  O_7s5S3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.5021618  0.9902  0.016  3.779e-02  O_7s5S3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.5199349  0.9878  0.000  1.905e+00  N_2p2D2p4S33     N  0.014  1000.0  250.0  1000      N 
 0.5201705  0.9877  0.000  1.084e+00  N_2p2D2p4S53     N  0.014  1000.0  250.0  1000      N 
 0.5330578  0.9801  0.000  1.741e-02  O_5d5D3p5P01     O  0.016  1000.0  300.0  1001    Orc 
 0.5330582  0.9801  0.000  3.912e-02  O_5d5D3p5P11     O  0.016  1000.0  300.0  1001    Orc 
 0.5330589  0.9801  0.000  3.045e-02  O_5d5D3p5P21     O  0.016  1000.0  300.0  1001    Orc 
 0.5331156  0.9801  0.000  1.305e-02  O_5d5D3p5P12     O  0.016  1000.0  300.0  1001    Orc 
 0.5331164  0.9801  0.000  5.075e-02  O_5d5D3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.5331173  0.9801  0.000  8.140e-02  O_5d5D3p5P32     O  0.016  1000.0  300.0  1001    Orc 
 0.5332209  0.9801  0.000  5.782e-03  O_5d5D3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.5332218  0.9801  0.000  4.056e-02  O_5d5D3p5P33     O  0.016  1000.0  300.0  1001    Orc 
 0.5332224  0.9801  0.000  1.567e-01  O_5d5D3p5P43     O  0.016  1000.0  300.0  1001    Orc 
 0.5436688  0.9787  0.002  3.487e-02  O_6s5S3p5P21     O  0.016  1000.0  300.0  1001    Orc 
 0.5437286  0.9785  0.004  5.812e-02  O_6s5S3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.5438373  0.9786  0.004  8.110e-02  O_6s5S3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.5514133  0.9768  0.000  1.556e-03  O_6d3D3p3P11     O  0.016  1000.0  300.0  1001    Orc 
