# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra without atmospheric extinction for the total
# emission and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: vacuum wavelength in µm
# f{species}: flux in R/nm without atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam      fall     dfall      fOH     dfOH       fO2      dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3033      4.20      1.72     0.00     0.00      3.58      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3034      4.19      1.72     0.00     0.00      3.57      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3035      4.19      1.72     0.00     0.00      3.57      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3036      4.19      1.72     0.00     0.00      3.56      1.43   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3037      4.18      1.72     0.00     0.00      3.56      1.43   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3038      4.18      1.71     0.00     0.00      3.56      1.43   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3039      4.18      1.71     0.00     0.00      3.55      1.43   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3040      4.17      1.71     0.00     0.00      3.55      1.43   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3041      4.17      1.71     0.00     0.00      3.55      1.43   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3042      4.17      1.71     0.00     0.00      3.54      1.43   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3043      4.16      1.71     0.00     0.00      3.54      1.42   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3044      4.16      1.70     0.00     0.00      3.53      1.42   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3045      4.15      1.70     0.00     0.00      3.53      1.42   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3046      4.15      1.70     0.00     0.00      3.53      1.42   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3047      4.15      1.70     0.00     0.00      3.52      1.42   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3048      4.14      1.70     0.00     0.00      3.52      1.42   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3049      4.14      1.70     0.00     0.00      3.52      1.41   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3050      4.14      1.70     0.00     0.00      3.51      1.41   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3051      4.13      1.69     0.00     0.00      3.51      1.41   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3052      4.13      1.69     0.00     0.00      3.50      1.41   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3053      4.12      1.69     0.00     0.00      3.50      1.41   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3054      4.12      1.69     0.00     0.00      3.50      1.41   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3055      4.12      1.69     0.00     0.00      3.49      1.41   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3056      4.11      1.69     0.00     0.00      3.49      1.40   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3057      4.11      1.69     0.00     0.00      3.49      1.40   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3058      4.11      1.68     0.00     0.00      3.48      1.40   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3059      4.10      1.68     0.00     0.00      3.48      1.40   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3060      4.10      1.68     0.00     0.00      3.47      1.40   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3061      4.10      1.68     0.00     0.00      3.47      1.40   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3062      4.09      1.68     0.00     0.00      3.47      1.40   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3063      4.09      1.68     0.00     0.00      3.46      1.39   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3064      4.08      1.68     0.00     0.00      3.46      1.39   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3065      4.08      1.67     0.00     0.00      3.46      1.39   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3066      4.08      1.67     0.00     0.00      3.45      1.39   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3067      4.07      1.67     0.00     0.00      3.45      1.39   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3068      4.07      1.67     0.00     0.00      3.44      1.39   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3069      4.07      1.67     0.00     0.00      3.44      1.38   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3070      4.06      1.67     0.00     0.00      3.44      1.38   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3071      4.06      1.66     0.00     0.00      3.43      1.38   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
